,0,1
0,"[array([  7.31049314,  23.50434324]), array([  8.49435319,  22.42294381]), array([  9.92855383,  20.91153962]), array([ 11.33616035,  19.91362296]), array([ 12.42949653,  17.7592605 ]), array([ 14.11330691,  17.6445102 ]), array([ 15.82568162,  15.28658233]), array([ 16.35668854,  14.68778023]), array([ 18.85404098,  13.52675506])]","[0, 9]"
1,"[array([ 40.1198593 ,  14.19292488]), array([ 38.42304325,  13.92007439]), array([ 36.40215541,  15.12172755]), array([ 34.62169353,  15.90800812]), array([ 32.2972013,  16.4707702]), array([ 30.85792376,  16.08625854]), array([ 28.73033184,  16.06361945]), array([ 27.61876916,  17.22887086]), array([ 25.79512221,  17.34311885])]","[0, 9]"
2,"[array([ 22.2909475 ,   8.57661717]), array([ 22.49551791,   7.21643513]), array([ 25.32591529,   6.26734453]), array([ 26.69236726,   5.40994703]), array([ 28.08860205,   3.82492739]), array([ 29.11797422,   2.54843641]), array([ 30.31316398,   2.03681489]), array([ 32.11928919,   1.64371813]), array([ 33.53294756,  -0.08056712]), array([ 33.76358703,  -1.76972837]), array([ 36.25460601,  -2.52217476]), array([ 36.23573059,  -3.75659131]), array([ 38.12843141,  -4.57050708]), array([ 38.22760255,  -5.9543452 ]), array([ 39.12595326,  -8.56561136]), array([ 41.50014125,  -9.8714429 ]), array([ 41.50278568, -10.76809376]), array([ 41.77486085, -12.90055669])]","[11, 29]"
3,"[array([-19.74366191, -22.5102453 ]), array([-17.42975783, -22.25065863]), array([-16.04825185, -22.51034476]), array([-13.91773204, -22.37815512]), array([-12.71662424, -22.18065812]), array([ -9.5365576 , -22.57658696]), array([ -7.58411407, -21.93036429]), array([ -5.9996911 , -21.55973244]), array([ -2.9880186 , -21.16847999]), array([ -0.10185472, -21.6252253 ]), array([  0.75450194, -22.06531944]), array([  3.96454662, -21.0916659 ]), array([  5.83813398, -21.09956568]), array([  8.59240659, -19.9579315 ]), array([ 10.51673236, -19.54711183]), array([ 11.97795095, -19.42347537]), array([ 15.33593622, -19.30322584]), array([ 17.65259077, -19.06232717]), array([ 20.14211864, -19.11657742]), array([ 22.82690884, -18.43769014]), array([ 25.01164788, -19.13925162]), array([ 25.53394795, -18.53280168]), array([ 28.12034732, -16.77252549]), array([ 29.3198416 , -15.89093271]), array([ 32.90823083, -15.91481284]), array([ 34.85659838, -14.91014712]), array([ 37.5021199 , -14.41500345]), array([ 39.07886312, -12.58953133]), array([ 40.47338814, -12.015983  ]), array([ 42.50972805, -12.46248766])]","[4, 34]"
4,"[array([-30.51320308, -19.20914253]), array([-29.49065365, -20.02889039]), array([-29.62009023, -21.85292019]), array([-28.17957299, -21.64732424]), array([-27.51099217, -23.81483207]), array([-27.41572297, -23.79831802]), array([-26.22964343, -25.28505864]), array([-26.06637786, -27.1377439 ]), array([-26.25999849, -28.65200746]), array([-25.02142282, -29.04120554]), array([-23.24759995, -31.31055651]), array([-22.52577611, -32.69430205]), array([-21.16148023, -33.56029536]), array([-19.65732955, -34.91736501]), array([-17.92348563, -37.05733423]), array([-17.16881971, -38.07413073]), array([-15.90675896, -38.88854173]), array([-13.73824331, -39.15493287]), array([-12.46604707, -41.35302527]), array([-11.84987921, -42.95689518]), array([ -9.38590285, -43.66676246]), array([ -7.82394407, -45.04769808]), array([ -6.49435571, -47.30185823]), array([ -5.50813681, -48.34637674]), array([ -3.68315011, -49.46661364]), array([ -2.59164246, -51.19635001]), array([ -0.91551527, -52.64211928]), array([  1.47340764, -54.20581487]), array([  2.13475387, -54.61400453]), array([  3.74945071, -55.15965879]), array([  4.99594689, -55.75725841]), array([  7.70136201, -56.91359638]), array([  8.78380902, -59.47051479]), array([ 10.78198762, -60.42232466]), array([ 10.56595777, -59.86931733]), array([ 11.42878651, -62.48224543]), array([ 13.22766145, -62.63138481]), array([ 15.12350173, -63.81350618]), array([ 17.49835748, -64.76900581]), array([ 17.37602496, -65.92728003]), array([ 20.391566  , -66.76904144]), array([ 22.12016314, -66.28650648]), array([ 23.55520738, -66.85966646]), array([ 23.79435168, -67.82414345]), array([ 25.58833314, -69.14775842]), array([ 28.01732823, -68.83825077]), array([ 28.16467858, -70.32471935]), array([ 31.1200013 , -70.35190886]), array([ 31.22553871, -71.48634478]), array([ 34.66948356, -73.28377932]), array([ 35.12623659, -73.69319008]), array([ 37.58598203, -75.8171694 ]), array([ 39.42576497, -75.52594023]), array([ 40.85105707, -76.67312652]), array([ 44.1402913 , -78.35248315]), array([ 45.80371898, -79.48774812]), array([ 47.26891681, -81.32991468]), array([ 48.56240253, -82.64350712]), array([ 52.4661879 , -84.87723108]), array([ 52.74841432, -84.37040352]), array([ 55.22893402, -86.18353983]), array([ 57.05101255, -87.39986434]), array([ 59.84737464, -89.13358951]), array([ 62.16258114, -90.79710998]), array([ 64.03121063, -93.0880565 ]), array([ 65.61654942, -94.39824288]), array([ 67.71238454, -95.84736859]), array([ 69.75396598, -97.92334661])]","[0, 68]"
5,"[array([-26.36033543,  45.52863111]), array([-26.23567258,  44.90847745]), array([-27.11731801,  43.07406629]), array([-26.95012806,  42.44479597]), array([-28.53219251,  40.85738241]), array([-29.1160261 ,  40.04021733]), array([-29.28703823,  38.11889768]), array([-29.32186065,  37.38527376]), array([-30.47926285,  37.15444275]), array([-31.18765722,  35.15200078]), array([-31.46140685,  33.18861237]), array([-32.2844931 ,  31.51745571]), array([-32.62022067,  32.06743662]), array([-35.04925401,  30.21168716]), array([-35.63813073,  28.71454098]), array([-36.58202301,  28.25334088]), array([-37.32533881,  27.61086027]), array([-38.93504244,  26.23468887]), array([-39.82281862,  25.92986388]), array([-40.74929692,  25.04098523]), array([-42.18730427,  23.42810045]), array([-44.36075286,  22.84389637]), array([-43.69284823,  21.17828887]), array([-44.94322197,  21.11415127]), array([-45.08917168,  19.32312391]), array([-46.8145803 ,  18.17048753]), array([-46.7786245 ,  17.12064102]), array([-48.16637086,  15.49409603]), array([-47.68464423,  14.64037294]), array([-49.07267514,  12.61096727]), array([-49.24446295,  10.84629935]), array([-50.965676  ,  10.67591319]), array([-52.47807798,   9.37524223]), array([-52.661657  ,   7.90549178]), array([-53.56008156,   6.61026689]), array([-53.53212675,   5.86017   ]), array([-53.50597736,   4.68593017]), array([-54.0669393 ,   3.79419755]), array([-54.28638461,   3.14170882]), array([-54.94935963,   1.24158455]), array([-54.52839614,   0.62340287]), array([-56.62572704,  -2.50315939]), array([-56.25595223,  -2.34484833]), array([-57.51464032,  -3.32177883]), array([-57.25066367,  -5.38653898]), array([-59.50794531,  -6.5146089 ]), array([-59.05190944,  -7.99280691]), array([-59.58938871,  -9.75168245]), array([-59.3215865 , -11.22827583]), array([-60.31352422, -12.23430348]), array([-59.84385622, -14.82124625]), array([-60.62415684, -14.96771239]), array([-60.68777309, -17.43261749]), array([-61.26124015, -17.23798228]), array([-61.39924412, -19.82818335]), array([-60.86421556, -21.25918588]), array([-62.04884358, -23.25493778]), array([-61.59130674, -24.93535435]), array([-62.28931721, -26.53755527]), array([-60.38721334, -28.64719385]), array([-60.53806102, -29.40289429]), array([-62.14241384, -31.15475046]), array([-61.92034523, -33.77141896]), array([-63.10811043, -33.84377191]), array([-63.93591013, -36.26872947]), array([-64.3000612, -38.5961582]), array([-64.68900775, -39.43149865]), array([-66.0254775 , -40.51912699]), array([-66.85200618, -42.28729819]), array([-66.89498256, -44.09822774]), array([-67.18245187, -45.77079328]), array([-69.40443053, -47.6787062 ]), array([-69.77486803, -49.3350208 ]), array([-69.6149179 , -50.22342788]), array([-70.39510271, -50.77732997]), array([-69.90117859, -53.61371825]), array([-70.98493697, -54.96477435]), array([-70.6886663 , -55.89458512]), array([-69.7046148 , -56.92424986]), array([-71.28984143, -57.89244309]), array([-72.06596685, -59.79459131]), array([-71.51074135, -60.94877674]), array([-72.65947485, -61.97471769]), array([-72.92797157, -63.06350459]), array([-73.40072747, -62.91461587]), array([-73.8546258 , -64.16015316]), array([-76.55979349, -64.91600554]), array([-75.47352645, -66.40625924]), array([-75.99473476, -66.40518005]), array([-75.01596467, -65.57548439]), array([-75.95238626, -68.52272932]), array([-77.04546929, -69.08675022]), array([-76.39404269, -68.61250575]), array([-77.47756956, -70.12053201]), array([-77.32101212, -70.62885175]), array([-77.71700165, -70.44846355]), array([-77.95232017, -71.89265623]), array([-79.09809928, -72.94845676]), array([-79.00931699, -73.09797516]), array([-78.41026612, -73.83503659])]","[0, 99]"
6,"[array([ 19.80628955,  18.50600721]), array([ 18.53413123,  18.73384123]), array([ 15.55980287,  18.95646638]), array([ 13.26471102,  18.61905403]), array([ 11.76933945,  19.37278487]), array([  9.04023296,  20.26345334]), array([  7.32982622,  20.70816155]), array([  4.24496519,  19.73496686]), array([  2.16292447,  20.40096155]), array([ -1.73936484,  22.27384162]), array([ -3.71915694,  22.0928939 ]), array([ -6.49798622,  23.21975341]), array([ -8.99590696,  24.1824648 ]), array([-11.02466275,  25.09048016]), array([-14.03608525,  25.93850267]), array([-17.10586514,  26.90234575]), array([-19.80321674,  27.38643468]), array([-21.88565961,  27.71829243]), array([-23.72385513,  29.46642495]), array([-25.97065361,  29.02579299]), array([-27.9037772 ,  29.79358694]), array([-30.30947865,  30.7968992 ]), array([-31.91679388,  30.13635355]), array([-33.7118676 ,  32.21477303]), array([-35.79782407,  31.3294557 ]), array([-36.77771053,  32.64357957]), array([-38.69192143,  33.34722035]), array([-41.54115557,  34.22009754]), array([-42.25589388,  35.39588418]), array([-42.72152753,  34.70280259]), array([-46.39870464,  36.21372821]), array([-48.41738096,  35.50459378]), array([-49.12284073,  35.96192028]), array([-51.9416569 ,  36.97855308]), array([-54.05090125,  38.01087224]), array([-55.70224154,  37.75082981]), array([-56.63909438,  38.60124286]), array([-57.97267639,  38.29670806]), array([-59.79602834,  38.53719788]), array([-61.08401389,  38.9612552 ]), array([-63.85669214,  39.71816449]), array([-65.60407423,  38.49071304]), array([-67.18132335,  39.05643161]), array([-68.21395468,  38.15928417]), array([-70.88283756,  38.95183456]), array([-72.05597478,  39.75361155]), array([-73.42709302,  38.98614812]), array([-75.19810051,  40.03621006]), array([-75.50494015,  39.29593121]), array([-77.03037976,  38.64231886]), array([-79.55928043,  38.36290903]), array([-81.89221296,  39.20836604]), array([-82.33218861,  39.21974466]), array([-82.81488209,  38.95888352]), array([-84.87346203,  39.81652275]), array([-86.77465389,  39.57164763]), array([-87.37877524,  39.67348356]), array([-89.74603458,  38.86680311]), array([-90.13384281,  38.13607702]), array([-92.05339103,  38.50836763]), array([-95.03402664,  39.10079757]), array([-94.40033839,  38.39524058]), array([-96.75639028,  37.63076181]), array([-97.18838808,  36.91697236]), array([-97.74576264,  36.72577596]), array([-99.76877447,  36.8504162 ]), array([-99.95756386,  35.80615242]), array([-101.18069252,   34.80468783]), array([-102.35436365,   34.80803003]), array([-103.7770687 ,   34.45304931]), array([-104.42883894,   33.94289452]), array([-104.74754032,   34.50904731]), array([-104.85437458,   33.43106356]), array([-106.51626103,   32.41835518]), array([-106.59420268,   31.88173614]), array([-107.83100726,   31.8662777 ]), array([-107.94466842,   31.56188164]), array([-108.99836708,   30.89983458]), array([-110.19077602,   30.83516105]), array([-110.50250212,   29.38403063]), array([-111.06227848,   28.89030684]), array([-112.65794628,   28.73360197]), array([-111.40381181,   27.56329328]), array([-111.58390982,   26.99763943]), array([-113.29058919,   26.03950139]), array([-114.27982378,   25.98790833]), array([-112.77989911,   25.16564425]), array([-114.39647522,   24.06713848]), array([-114.67815261,   23.55660933]), array([-114.68129206,   23.01991288])]","[10, 99]"
7,"[array([ 48.4024783 , -20.93926539]), array([ 49.9185426 , -21.81254899]), array([ 50.90510322, -24.32179583]), array([ 52.22590619, -26.06618477]), array([ 54.55664382, -27.68502269]), array([ 54.22609854, -29.6775777 ]), array([ 56.9599524 , -30.66272179]), array([ 57.99685514, -31.8771897 ]), array([ 59.46462742, -33.00818521]), array([ 58.81700584, -34.83340637]), array([ 59.19540628, -35.55873167]), array([ 61.26559806, -36.67950339]), array([ 60.16219504, -39.84731187]), array([ 60.79731408, -40.18049645]), array([ 61.57331484, -41.67028196]), array([ 61.57768454, -42.14425165]), array([ 61.54197984, -45.36230288]), array([ 63.18758698, -47.58253761]), array([ 63.30047322, -47.74350602]), array([ 63.52321992, -49.88788552]), array([ 64.27806104, -53.48154852]), array([ 65.29889467, -55.24805822]), array([ 66.26396041, -57.13205934]), array([ 66.69263991, -59.43396319]), array([ 67.76455323, -61.19489079]), array([ 69.02436415, -63.04993673]), array([ 69.54311293, -65.05783141]), array([ 69.63983113, -67.56322813]), array([ 69.87416472, -69.8035945 ]), array([ 69.85126233, -71.46341501]), array([ 71.47472736, -73.90107382]), array([ 71.8715748 , -76.21416435]), array([ 71.88933995, -80.30458964]), array([ 72.37574777, -82.02481214]), array([ 74.28781276, -84.85348397]), array([ 73.96626217, -86.81953622]), array([ 73.48255535, -89.95747798]), array([ 73.96793992, -92.08565033]), array([ 75.84406243, -94.62028928]), array([ 75.34930006, -96.8565027 ]), array([ 76.08534419, -98.49842561]), array([  76.76871962, -101.09478978]), array([  77.15641672, -103.70677455]), array([  77.60079535, -105.50334199]), array([  78.63057001, -107.80489735]), array([  78.67706454, -109.42694518]), array([  79.42648675, -112.51153279]), array([  80.2646546 , -115.30778309]), array([  80.69331711, -117.56217494]), array([  80.39023798, -120.0579842 ]), array([  80.44755124, -123.20971437]), array([  82.00204691, -125.68591339]), array([  83.22843185, -128.29173054]), array([  84.26584536, -130.52199775]), array([  83.39679417, -132.02742438]), array([  83.96468825, -135.45203142]), array([  84.52605603, -136.98405741]), array([  85.64633055, -140.00574016]), array([  85.15017408, -142.78555884]), array([  85.90963351, -144.66106279]), array([  86.53584072, -147.51356976]), array([  87.04972766, -149.23913952]), array([  87.01334154, -151.97800584]), array([  88.38181622, -154.00726488]), array([  87.54042359, -156.3653703 ]), array([  88.99702065, -158.27419827]), array([  88.97305202, -160.67780411]), array([  89.28614339, -163.81265533])]","[32, 99]"
8,"[array([ 46.41341274, -10.098037  ]), array([ 47.6064554 ,  -9.84156605]), array([ 50.80567362,  -9.09484805]), array([ 51.57632534,  -7.00697893]), array([ 55.61766528,  -7.16362836]), array([ 56.96588312,  -6.21471952]), array([ 59.18013395,  -5.68897348]), array([ 61.79828121,  -4.46974614]), array([ 63.12901235,  -3.28675443]), array([ 64.99588334,  -2.38369103]), array([ 66.41421216,  -1.20409586]), array([ 69.07038201,  -0.55851224]), array([ 71.35631778,   0.19060412]), array([ 72.30974898,   1.32330272]), array([ 75.71175101,   3.29519056]), array([ 76.60636842,   4.72619068]), array([ 79.39112199,   6.45594112]), array([ 80.59529398,   6.86857239]), array([ 83.18361543,   6.55541188]), array([ 84.08166993,   7.94951049]), array([ 86.67635719,   9.17794188]), array([ 87.9616847 ,  10.77309816]), array([ 90.60269966,  12.40690382]), array([ 92.21130493,  13.14488933]), array([ 94.11502256,  13.97907797]), array([ 96.21600682,  15.79804914]), array([ 98.90289968,  16.2215874 ]), array([ 100.43486131,   18.15729397]), array([ 103.54801002,   19.60237178]), array([ 105.39312438,   21.25551716]), array([ 107.44933361,   22.21499783]), array([ 109.83181824,   23.89515936]), array([ 111.57693874,   25.67919983]), array([ 114.32858854,   26.76213133]), array([ 116.04671907,   28.26451604]), array([ 119.39395679,   29.69958567]), array([ 121.21289935,   30.48956485]), array([ 122.88315084,   33.47182882]), array([ 124.85592843,   34.23215759]), array([ 126.98831096,   35.57274533]), array([ 129.08658303,   37.02065631]), array([ 131.57057805,   38.78303177]), array([ 133.72685231,   40.92135521]), array([ 134.47580533,   42.35832923]), array([ 137.09154116,   44.94199248]), array([ 139.5461119 ,   46.48419229]), array([ 142.14989182,   47.26893291]), array([ 144.50663774,   49.7721638 ]), array([ 145.96099284,   50.92026304]), array([ 146.99715401,   52.54915452]), array([ 150.05598085,   54.5645856 ]), array([ 150.59174788,   57.43913093]), array([ 153.66814799,   59.56478423]), array([ 154.60350455,   62.07410989]), array([ 158.08906141,   63.76717306]), array([ 159.34282243,   66.58846573]), array([ 160.20225102,   68.84389907]), array([ 162.19464528,   70.0155017 ]), array([ 164.09117751,   72.40025598]), array([ 165.04414108,   72.77079895]), array([ 167.53010446,   75.22091754]), array([ 169.05874345,   78.01512571]), array([ 170.38005141,   80.34489205]), array([ 170.81510639,   80.49603948]), array([ 173.09576634,   82.24364476]), array([ 173.88708202,   84.0588396 ])]","[34, 99]"
9,"[array([  90.04770777, -110.83226091]), array([  92.44133666, -113.27118846]), array([  94.56703984, -115.32896525]), array([  97.38538309, -116.16085047]), array([ 100.33333572, -117.7988565 ]), array([ 101.89053739, -118.99792163]), array([ 104.23973155, -120.8912932 ]), array([ 106.3347984 , -122.01739087]), array([ 109.82348361, -124.86533151]), array([ 111.42022833, -125.65846675]), array([ 112.61326893, -127.10999221]), array([ 114.69918993, -127.56002239]), array([ 116.46582858, -130.00721169]), array([ 119.21990665, -131.17957182]), array([ 119.78006807, -132.62166023]), array([ 122.32321067, -133.99151787]), array([ 124.15333361, -137.39417015]), array([ 125.78207702, -138.30194532]), array([ 127.81293066, -140.00928987]), array([ 129.59118078, -141.06301695]), array([ 132.28844305, -141.87046383]), array([ 132.67908741, -143.1141921 ]), array([ 136.51479548, -144.63751424]), array([ 137.17786862, -146.30247838])]","[76, 99]"
