,0,1
0,"[array([-12.8438448 , -28.37454271]), array([-12.34427801, -27.19037413]), array([-11.94899547, -25.86271949]), array([-11.35418827, -24.58691422]), array([-10.94418155, -23.47872684]), array([-10.42352058, -22.14485079]), array([ -9.91804035, -20.92450892]), array([ -9.38366125, -19.70583421]), array([ -8.85851385, -18.3817602 ]), array([ -8.40145917, -17.24033167]), array([ -7.82480016, -15.91091064]), array([ -7.29960297, -14.67902901]), array([ -6.81553147, -13.57471569]), array([ -6.32570828, -12.32572516]), array([ -5.74357162, -11.10167365]), array([-5.22470788, -9.94055758]), array([-4.69821871, -8.77305538]), array([-4.18161044, -7.5599794 ]), array([-3.69690333, -6.47309744]), array([-3.13690271, -5.35113362]), array([-2.54900402, -4.10628609]), array([-2.22744569, -2.84469846]), array([-1.60203837, -1.62233478]), array([-0.92265908, -0.42045533]), array([-0.50627131,  0.77064469]), array([ 0.11931847,  1.91727329]), array([ 0.72664253,  3.14395447]), array([ 1.28954879,  4.38503309]), array([ 1.88094333,  5.62306235]), array([ 2.51052136,  6.74706915]), array([ 2.99286439,  8.02054809]), array([ 3.61192285,  9.23072925]), array([  4.19379646,  10.38352922]), array([  4.65079494,  11.63779948]), array([  5.22804911,  12.81614958]), array([  5.80659481,  14.05043753]), array([  6.21088932,  15.21016278]), array([  6.92238646,  16.38728792]), array([  7.34925688,  17.58798226]), array([  7.97075292,  18.83838235]), array([  8.50326673,  20.06764248]), array([  9.06232011,  21.29177314]), array([  9.64580214,  22.53840985]), array([ 10.23383803,  23.87200242]), array([ 10.75385279,  25.00987338]), array([ 11.36871823,  26.33205722]), array([ 11.89310286,  27.66752743]), array([ 12.38786356,  28.88961164]), array([ 13.03308039,  30.07746644]), array([ 13.55676306,  31.44203891]), array([ 14.03778143,  32.60053212]), array([ 14.5691193 ,  33.95704856]), array([ 15.0767945 ,  35.11967685]), array([ 15.51410798,  36.39823753]), array([ 16.22542609,  37.64344814]), array([ 16.64721726,  38.91678543]), array([ 17.2262394 ,  40.16047287]), array([ 17.77282044,  41.31520874]), array([ 18.38121218,  42.54199817]), array([ 18.98315046,  43.6820423 ]), array([ 19.57483247,  44.85123802]), array([ 20.13649723,  46.12127686]), array([ 20.54012384,  47.3006878 ]), array([ 21.31658724,  48.43272265]), array([ 21.79200244,  49.68591106]), array([ 22.37576857,  50.90819914]), array([ 22.93173015,  52.23468334]), array([ 23.59801323,  53.34514742]), array([ 24.08046314,  54.54207794])]","[0, 69]"
1,"[array([ 32.69261039, -19.02502126]), array([ 32.60754292, -18.12689705]), array([ 32.52960252, -17.00385846]), array([ 32.41298117, -16.10737288]), array([ 32.2773464 , -15.06026016]), array([ 32.19335325, -14.07502192]), array([ 31.99540779, -13.13699897]), array([ 31.8287858 , -12.06620318]), array([ 31.85827121, -11.12663134]), array([ 31.68098057, -10.00418411]), array([ 31.67092302,  -9.01541031]), array([ 31.53651819,  -7.93176362]), array([ 31.4377497,  -6.9057542]), array([ 31.37231494,  -6.1217076 ]), array([ 31.27156632,  -5.00000479]), array([ 31.20823023,  -4.14827948]), array([ 31.12440825,  -3.14716859]), array([ 30.95437607,  -1.9762915 ]), array([ 30.93902639,  -1.02750174]), array([ 30.79885581,   0.10960188]), array([ 30.78214805,   0.98370529]), array([ 30.69424158,   1.95174668]), array([ 30.49215534,   2.98937   ]), array([ 30.51688408,   4.02054869]), array([ 30.53276695,   4.99707749]), array([ 30.38149296,   5.8968792 ]), array([ 30.31077238,   6.97520317]), array([ 30.2652513 ,   7.92877462]), array([ 30.25501519,   9.02910711]), array([ 29.99651438,  10.05438558]), array([ 30.03868717,  11.06441013]), array([ 29.85602023,  12.04953448]), array([ 29.76877037,  13.10873421]), array([ 29.63188783,  14.21100189]), array([ 29.48575218,  15.17284992]), array([ 29.55841067,  16.26049124]), array([ 29.20448946,  17.37980533]), array([ 29.27672766,  18.35954503]), array([ 29.0507416 ,  19.36899356]), array([ 28.93549174,  20.44469008]), array([ 28.9448505 ,  21.50870608]), array([ 28.8653714 ,  22.50292386]), array([ 28.78243217,  23.55758681]), array([ 28.63513239,  24.65718494]), array([ 28.68375192,  25.62140812]), array([ 28.50227036,  26.65356831]), array([ 28.28361729,  27.71663667]), array([ 28.33712046,  28.76624359]), array([ 28.31293943,  29.78511909]), array([ 28.32342323,  30.85549006]), array([ 28.1602401,  31.7881592]), array([ 28.07496244,  32.76788645]), array([ 28.06306581,  33.85757879]), array([ 28.07508923,  34.93964322]), array([ 27.96549014,  35.87679062]), array([ 27.90607606,  36.96681805]), array([ 27.81861149,  38.01465969]), array([ 27.74578492,  39.06868857]), array([ 27.73304336,  40.17986523]), array([ 27.50828447,  41.17007693]), array([ 27.58698054,  42.19518156]), array([ 27.50418092,  43.29225998]), array([ 27.47244126,  44.26394591]), array([ 27.55404559,  45.36781428]), array([ 27.38756946,  46.36908105]), array([ 27.39949502,  47.35485216]), array([ 27.36366698,  48.52751038]), array([ 27.34165335,  49.60720549]), array([ 27.15913837,  50.59493057]), array([ 27.14109742,  51.63364173]), array([ 27.20635329,  52.76025128]), array([ 27.06647026,  53.78186108]), array([ 26.9754835 ,  54.79148182]), array([ 26.98478458,  55.89919326]), array([ 26.93869674,  56.93868016]), array([ 26.88002936,  58.04044343]), array([ 26.89503204,  59.14562909]), array([ 26.84976921,  60.15442091]), array([ 26.88768886,  61.25447051]), array([ 26.88828978,  62.33864048]), array([ 26.80036958,  63.35841817]), array([ 26.87293531,  64.44031852]), array([ 26.73846584,  65.60417313]), array([ 26.70719595,  66.71788688]), array([ 26.73883472,  67.72307327]), array([ 26.64291818,  68.896365  ]), array([ 26.77459559,  69.85085375]), array([ 26.54252541,  70.9549174 ]), array([ 26.58704703,  72.04668816]), array([ 26.54465206,  73.12054994]), array([ 26.55836018,  74.22820698]), array([ 26.66144331,  75.34769961]), array([ 26.63105643,  76.27743565]), array([ 26.59427889,  77.4656372 ]), array([ 26.70621533,  78.49454296]), array([ 26.59431085,  79.58209221]), array([ 26.76858464,  80.5197721 ]), array([ 26.77939569,  81.59081628]), array([ 26.75671167,  82.78711832]), array([ 26.87093874,  83.86182587])]","[0, 99]"
2,"[array([-17.06084155,   0.20368425]), array([-17.60691028,  -1.36242804]), array([-18.23196225,  -2.82574005]), array([-18.83814465,  -4.28157681]), array([-19.37780884,  -5.83284794]), array([-20.00734305,  -7.16371175]), array([-20.54873357,  -8.61677101]), array([-21.23676071, -10.17879655]), array([-21.83909656, -11.61866681]), array([-22.3671096 , -13.08990684]), array([-23.03750171, -14.57196757]), array([-23.69547032, -16.16793232]), array([-24.2847186 , -17.53509767]), array([-24.97014425, -19.10845775]), array([-25.43358033, -20.60391533]), array([-26.116123  , -22.13721237]), array([-26.79595197, -23.57260452]), array([-27.33948112, -25.05598647]), array([-27.96359647, -26.40167152]), array([-28.66151931, -28.06469617]), array([-29.23936991, -29.48657211]), array([-29.90940907, -31.02571858]), array([-30.5006397 , -32.52273242]), array([-31.19193819, -34.02878993]), array([-31.77926023, -35.64856063]), array([-32.30024009, -37.07896463]), array([-32.93791741, -38.64269473]), array([-33.48018057, -40.07101271]), array([-34.08197729, -41.64645378]), array([-34.58550183, -43.12251656]), array([-35.2006406, -44.6722441]), array([-35.81417327, -46.21430189]), array([-36.37369871, -47.73669874]), array([-36.99845246, -49.28590707]), array([-37.7230391 , -50.87284315]), array([-38.25800212, -52.27699277]), array([-38.99808805, -53.76417827]), array([-39.59988389, -55.22302629]), array([-40.22731994, -56.85306249]), array([-40.86753378, -58.32608515]), array([-41.41847689, -59.92668741]), array([-42.19517156, -61.36062961]), array([-42.66626903, -62.83897932]), array([-43.42828287, -64.3738183 ]), array([-44.01669984, -65.78525844]), array([-44.69719917, -67.29358327]), array([-45.28604648, -68.86689705]), array([-46.08083145, -70.29706451]), array([-46.79167283, -71.80874189]), array([-47.35493825, -73.34229021]), array([-48.086191 , -74.8688041]), array([-48.71822335, -76.36475828]), array([-49.42078775, -77.87544831]), array([-50.02750898, -79.43366093]), array([-50.62479311, -80.97715324]), array([-51.38589137, -82.50705098]), array([-52.03162276, -84.03069465]), array([-52.65991953, -85.6730753 ]), array([-53.22023079, -87.20128696]), array([-54.05998645, -88.70264866]), array([-54.73035219, -90.28237183]), array([-55.46187626, -91.78887681]), array([-56.13475526, -93.47799674]), array([-56.83049747, -95.05790956]), array([-57.52789347, -96.56579894]), array([-58.31909384, -98.18980698]), array([-58.92986213, -99.74479865]), array([ -59.61877447, -101.32999953]), array([ -60.42232444, -102.90071642]), array([ -61.13947879, -104.45488294]), array([ -61.82287086, -106.07446919]), array([ -62.551536  , -107.71379688]), array([ -63.34106074, -109.34674958]), array([ -64.02643338, -110.91384588]), array([ -64.69056208, -112.39747801]), array([ -65.40379937, -114.09503426]), array([ -66.13095462, -115.60049273]), array([ -66.82924227, -117.19981255]), array([ -67.50853999, -118.70742603]), array([ -68.21088722, -120.35650016]), array([ -69.00049206, -121.89953528]), array([ -69.66596091, -123.59337129]), array([ -70.2486695 , -125.18341545]), array([ -70.97260498, -126.7916404 ]), array([ -71.60382386, -128.28610715]), array([ -72.38667109, -129.84496773]), array([ -72.98875778, -131.47934849]), array([ -73.69738003, -132.94343033]), array([ -74.30860682, -134.54009497]), array([ -74.92484877, -136.13705405]), array([ -75.58402504, -137.62740296]), array([ -76.33718753, -139.16915234]), array([ -76.89173542, -140.6468923 ]), array([ -77.47343413, -142.22886488]), array([ -78.16722569, -143.85727709]), array([ -78.83735655, -145.30565535]), array([ -79.32895588, -146.72736512]), array([ -80.07220164, -148.22909968]), array([ -80.66773528, -149.70534608]), array([ -81.34670851, -151.17923651])]","[0, 99]"
3,"[array([ 29.00040677,  65.25671385]), array([ 29.63585158,  66.36263332]), array([ 30.11559271,  67.61387532]), array([ 30.68531613,  68.82480987]), array([ 31.19917086,  69.94981964]), array([ 31.82197535,  71.22516121]), array([ 32.3538012 ,  72.42404472]), array([ 32.87837896,  73.60560504]), array([ 33.44983208,  74.8090924 ]), array([ 33.98680439,  76.09293525]), array([ 34.66134012,  77.28749466]), array([ 35.10541464,  78.44612937]), array([ 35.67084712,  79.52427046]), array([ 36.20823167,  80.7012137 ]), array([ 36.83230988,  81.90123937]), array([ 37.32071419,  83.11332923]), array([ 38.00012306,  84.35067175]), array([ 38.38750347,  85.45702853]), array([ 38.90628159,  86.6065039 ]), array([ 39.3982688 ,  87.82031783]), array([ 40.01482571,  89.00043951]), array([ 40.46962005,  90.12830736]), array([ 41.11698895,  91.39017673])]","[77, 99]"
