19.2,11.648
13.116,8.0386
9.1556,5.6498
6.3207,4.0365
4.5055,2.8297
3.2842,2.1245
2.3884,1.5949
1.7505,1.1884
1.2761,0.87785
0.9256,0.65092
0.67073,0.4778
0.48547,0.35078
0.35134,0.25793
0.2545,0.1901
0.18442,0.14
0.13369,0.10326
0.096951,0.07616
0.07032,0.056168
0.051027,0.041419
0.037061,0.030569
0.026961,0.022585
0.019674,0.016722
0.014433,0.012428
0.010688,0.0092991
0.0080441,0.0070367
0.006218,0.0054271
0.0050123,0.0043162
0.0042919,0.0035963
0.0039697,0.0031952
0.0039968,0.0030693
0.0043559,0.0031991
0.0050586,0.0035864
0.0061445,0.0042544
0.0076828,0.0052483
0.009777,0.0066384
0.012571,0.0085252
0.016259,0.011046
0.021099,0.014387
0.027431,0.018793
0.0357,0.02459
0.04649,0.032204
0.06056,0.042198
0.078903,0.05531
0.10281,0.072509
0.13397,0.095066
0.17459,0.12465
0.22752,0.16344
0.29651,0.21431
0.38642,0.28101
0.50357,0.36846
0.65621,0.48312
0.85506,0.63342
1.1141,0.83044
1.4516,1.0888
1.8917,1.4276
2.4665,1.8727
3.2168,2.4572
4.1969,3.2249
5.4741,4.2321
7.1371,5.5506
9.2832,7.2648
12.028,9.4819
15.495,12.299
20.139,16.097
26.299,21.164
34.794,28.082
46.335,37.716
63.104,51.64
87.455,71.248
