,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,-30.185017562249108,-32.21199387475353,-33.40101810231682,-34.93609895703161,-35.785320795266124,-36.805767244169694,-38.724092105946546,-39.49918229654979,-40.813705389083346,-42.27205916153211,-43.62972623928988,-45.266366347407306,-45.9449889614669,-47.61395940543515,-48.76531506006923,-49.859194743405915,-51.000822370617314,-52.87981996222649,-53.659671157084574,-54.89498897258493,-57.36845053785691,-57.756340970785594,-59.61635438537586,-60.60758878594214,-61.17320749042348,-62.24633610156314,-64.48239233819824,-65.26629185140192,-67.18701980621952,-68.8101571528563,-69.36363992239819,-72.05145352982407,-72.85173930668014,-73.66354095791428,-75.46211806470093,-76.80063440355494,-78.39333909945731,-79.82537670286058,-81.65979630734503,-83.4158512459504,-84.77281712495196,-86.59769203439662,-88.48120999158377,-90.3476353281541,-91.62539460480515,-92.50497849617948,-94.59519043760795,-97.17357846356177,-97.97105801784113,-99.66200682911641,-101.63584168318371,-102.54292357184596,-104.03926707420608,-105.30613605260429,-106.5688047880723
1,-43.205548822741264,-42.79901427294146,-44.65535805640716,-44.92242762392822,-46.1660024345755,-45.75400813568293,-47.20002197201623,-47.563700061002834,-48.65129422877069,-49.826876680821094,-49.88603544614339,-52.02769913260608,-51.970169010141795,-52.28254347904566,-53.66442306027163,-53.594839548268894,-55.56994337886805,-55.53344733197867,-56.894336695216,-57.32199084948793,-58.08236430430165,-59.01721062708343,-59.97589624673421,-60.376666755109056,-61.451620984714665,-61.106376481319,-61.55254453728259,-61.361161694117676,-62.00438559212857,-61.53262546301968,-61.4337442053081,-62.75214101606015,-63.644250033786605,-62.78942974764842,-63.22150601588132,-64.06671012945607,-63.79801783947159,-64.46125155809203,-64.1278561304794,-64.62765362501825,-64.80497729457042,-65.13779698636205,-65.25985005854552,-64.01611570813591,-64.27397002244525,-65.56607922987565,-65.48228634849389,-66.05127230427824,-65.5930146233631,-66.93809332053699,-66.0628539233339,-67.47393484599144,-67.99974943280783,-68.7409077519815,-68.98016574623419
2,5.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-115.39691970567019,-116.90292523479786,-117.90662194881416,-119.10004894200665,-120.05987312961078,-121.26251192454657,-121.6264737846632,-123.4126997622893,-124.68531955503776,-125.54493726512159,-126.43355909000348,-129.22454224087866,-130.4087391281819,-132.35906435141356,-133.46129955152153,-134.29516672613073,-137.23432947205453,-137.7732167261837,-138.5701189050758,-140.26615795603587,-141.6405246676407,-142.93684296449786,-144.65218142175422,-145.0391436733293,-146.4941127571897,-147.22497696687816,-148.85569874130144,-150.07394386954314,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-80.43715819056042,-81.44899430127909,-83.31448279961172,-85.68484284553257,-86.44626290836969,-88.48385280213297,-90.03834718117032,-92.30232565631363,-94.05590664840527,-95.82945122663358,-97.71248190992773,-99.74873898857548,-102.17465030954729,-103.909070187103,-105.45409989716161,-108.28298168655687,-110.10818700857197,-112.56546499533103,-113.94571786118301,-115.1775572285735,-118.06393462970374,-119.86440316109885,-121.22964208995855,-123.27752546701602,-125.69163687696062,-127.69478026226754,-128.33636115684075,-130.98126533556353,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,72.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
