,0,1
0,"[array([-29.06780588,  25.14715691]), array([-28.02045442,  24.06952077]), array([-27.06044406,  22.99545321]), array([-25.9946527 ,  21.84986484]), array([-24.95457198,  20.8571746 ]), array([-23.8146908 ,  19.73987867]), array([-22.79098038,  18.65899891]), array([-21.68608556,  17.5860168 ]), array([-20.61599111,  16.50809317]), array([-19.69442445,  15.46876772]), array([-18.47342367,  14.52649657]), array([-17.40236409,  13.29010995]), array([-16.32644763,  12.37971914]), array([-15.21967316,  11.28271808]), array([-14.15845287,  10.25555206]), array([-13.05850232,   9.19164826]), array([-12.03828536,   8.14794699]), array([-10.93066735,   7.05384998]), array([-9.83624191,  6.07235451]), array([-8.83449019,  4.97282929]), array([-7.72864286,  3.91029254]), array([-6.68752876,  2.94555239]), array([-5.56165741,  1.79943404]), array([-4.45991835,  0.76569048]), array([-3.48828448, -0.42143873]), array([-2.32233857, -1.40844749]), array([-1.34973127, -2.60129973]), array([-0.1516962 , -3.66720471]), array([ 0.86856091, -4.80844904]), array([ 2.04090798, -5.82387863]), array([ 3.04570928, -7.03902952]), array([ 4.20998295, -8.12217086]), array([ 5.32057403, -9.10241552]), array([  6.40823963, -10.25775464]), array([  7.47011223, -11.3276356 ]), array([  8.67220376, -12.40204301]), array([  9.70289778, -13.5693779 ]), array([ 10.85368215, -14.62542299]), array([ 12.04148373, -15.78753158]), array([ 13.07496038, -16.832278  ]), array([ 14.19186231, -17.92833277]), array([ 15.23006163, -19.09522283]), array([ 16.41798797, -20.11497978]), array([ 17.57504205, -21.18301612]), array([ 18.54699798, -22.29995302]), array([ 19.71259764, -23.3527348 ]), array([ 20.93221435, -24.38597014]), array([ 22.00650893, -25.54383504]), array([ 23.08162122, -26.65149479]), array([ 24.2814933 , -27.62172112]), array([ 25.2409178 , -28.73408598]), array([ 26.30702853, -29.78669539]), array([ 27.48238369, -30.88138244]), array([ 28.72226569, -31.94406782]), array([ 29.88387392, -32.88246175]), array([ 30.95942781, -33.91071476]), array([ 32.04653802, -34.89434909]), array([ 33.1265779 , -35.95124662])]","[0, 58]"
1,"[array([ 35.37533647, -16.7099534 ]), array([ 35.40120961, -17.23614195]), array([ 35.28886945, -17.62998188]), array([ 35.36090554, -18.03290426]), array([ 35.21079672, -18.38041275]), array([ 35.14777651, -19.0073723 ]), array([ 35.10533601, -19.29155906]), array([ 35.1130197 , -19.74607077]), array([ 35.05601416, -20.04808581]), array([ 34.89324166, -20.60174438]), array([ 34.93615115, -20.9751377 ]), array([ 34.94207877, -21.37487561]), array([ 34.9629919 , -21.76357738]), array([ 34.80985417, -22.18520161]), array([ 34.80677178, -22.58462335]), array([ 34.69370918, -23.01093885]), array([ 34.70800355, -23.47864512]), array([ 34.70599499, -23.82871392]), array([ 34.61491803, -24.21689475]), array([ 34.67725545, -24.60706385]), array([ 34.62218846, -25.05261557]), array([ 34.37269062, -25.4977177 ]), array([ 34.45240379, -25.8995335 ]), array([ 34.25867078, -26.2539141 ]), array([ 34.29106485, -26.67167524]), array([ 34.25911828, -27.03291609]), array([ 34.15395605, -27.41999306]), array([ 34.04910303, -27.81985459]), array([ 34.06689739, -28.11204468]), array([ 33.9204169 , -28.55760833]), array([ 33.99665136, -28.99178026]), array([ 33.93668115, -29.24619871]), array([ 33.92923275, -29.73991693]), array([ 33.82992992, -30.0881283 ]), array([ 33.72046162, -30.5177485 ]), array([ 33.65350631, -30.92837674]), array([ 33.69722612, -31.36641305]), array([ 33.62022652, -31.78297809]), array([ 33.42504839, -32.18438689]), array([ 33.33734503, -32.55265162]), array([ 33.23316536, -32.88941455]), array([ 33.12207083, -33.39433631]), array([ 33.12414088, -33.81809311]), array([ 32.99707623, -34.09436754]), array([ 32.81137996, -34.61735448]), array([ 32.73748771, -34.97727237]), array([ 32.64869808, -35.37252847]), array([ 32.50502766, -35.8057873 ]), array([ 32.34787527, -36.20100555]), array([ 32.32353421, -36.60672794]), array([ 32.23585402, -37.06067087]), array([ 32.16122975, -37.53710176]), array([ 32.05959627, -37.84699579]), array([ 31.94901379, -38.36593726]), array([ 31.89473486, -38.78588417]), array([ 31.79093063, -39.10403965]), array([ 31.78427482, -39.51909817]), array([ 31.58471043, -39.92161928]), array([ 31.55455589, -40.40720117]), array([ 31.52426233, -40.84477337]), array([ 31.42111382, -41.15446954]), array([ 31.42449782, -41.61898172]), array([ 31.36156091, -41.92141722]), array([ 31.30123496, -42.47982492]), array([ 31.31426147, -42.81663289]), array([ 31.21004536, -43.17668665]), array([ 31.19116977, -43.75910505]), array([ 31.07351888, -44.12725222]), array([ 31.04281695, -44.57014672]), array([ 30.92146101, -44.87125388]), array([ 30.81271656, -45.30204235]), array([ 30.79861733, -45.62756415]), array([ 30.58204195, -46.1483219 ]), array([ 30.48197515, -46.59781599]), array([ 30.28042456, -46.96177518]), array([ 30.28968419, -47.39937035]), array([ 30.11167631, -47.78135819]), array([ 29.85343355, -48.26152538]), array([ 29.9178934 , -48.73977089]), array([ 29.68212771, -49.09482673]), array([ 29.5327184 , -49.55371571]), array([ 29.3799467 , -49.98567679]), array([ 29.24347754, -50.35351237]), array([ 29.0523512 , -50.82294466]), array([ 28.92525964, -51.29097502]), array([ 28.91048955, -51.56822477]), array([ 28.71981488, -52.06943262]), array([ 28.55280106, -52.45682377]), array([ 28.34623235, -52.73554346]), array([ 28.27240801, -53.2600566 ]), array([ 28.04265758, -53.66190885]), array([ 27.95483609, -53.91888449]), array([ 27.77344967, -54.33672285]), array([ 27.53310607, -54.82676808]), array([ 27.29369302, -55.0682732 ]), array([ 27.23410261, -55.426412  ]), array([ 26.94877318, -55.89567758]), array([ 26.8981583 , -56.22050504]), array([ 26.65107388, -56.57513242]), array([ 26.55606509, -56.83817328])]","[0, 99]"
2,"[array([ 8.69329638,  0.81510659]), array([ 7.5742133 ,  2.41476788]), array([ 6.57530999,  4.0277607 ]), array([ 5.55603683,  5.64788125]), array([ 4.59243524,  7.27210798]), array([ 3.55777869,  8.92364344]), array([  2.52858927,  10.55957909]), array([  1.46628956,  12.08933909]), array([  0.46771465,  13.63896564]), array([ -0.5470309 ,  15.19536943]), array([ -1.6046505 ,  16.82574925]), array([ -2.70904269,  18.42756624]), array([ -3.72789019,  19.94422538]), array([ -4.65188003,  21.50899704]), array([ -5.67880454,  23.16684279]), array([ -6.75394493,  24.82033401]), array([ -7.71704803,  26.55978048]), array([ -8.7570877,  28.2345548]), array([ -9.86085441,  29.81217582]), array([-10.74743665,  31.44723026]), array([-11.75450668,  33.168386  ]), array([-12.84760112,  34.80422268]), array([-13.88614132,  36.42075037]), array([-14.87426223,  38.07956169]), array([-15.89016107,  39.66356317]), array([-17.01254722,  41.32022424]), array([-18.06064761,  42.99372547]), array([-19.02594711,  44.6675649 ]), array([-20.17743291,  46.47632546]), array([-21.19801154,  48.05375335]), array([-22.23176239,  49.68613313]), array([-23.26065906,  51.38780854]), array([-24.43460435,  53.05201656]), array([-25.48401125,  54.6926073 ]), array([-26.43835154,  56.36685065]), array([-27.54476314,  58.11239739]), array([-28.52382043,  59.79038621]), array([-29.53203518,  61.31154244]), array([-30.56238182,  63.09160702]), array([-31.74401295,  64.80508922]), array([-32.74737741,  66.4943515 ]), array([-33.7940839 ,  68.01795913]), array([-34.83479516,  69.66499724]), array([-35.89884064,  71.32006138]), array([-36.99159732,  73.17787988]), array([-38.11764034,  74.72558528]), array([-39.0813498 ,  76.40425862]), array([-40.31488294,  77.9474292 ]), array([-41.47921443,  79.68434819]), array([-42.51074208,  81.33405739]), array([-43.51404294,  82.90112622]), array([-44.64923272,  84.61007352]), array([-45.62526455,  86.3203367 ]), array([-46.82455202,  87.91794333]), array([-47.89636311,  89.58876309]), array([-48.84749807,  91.29357053]), array([-49.89006   ,  92.94132366]), array([-50.98934535,  94.55847811]), array([-52.00081128,  96.26403159]), array([-53.05698271,  97.81421366]), array([-54.11145529,  99.53584147]), array([ -55.00544468,  101.0735401 ]), array([ -56.18256067,  102.7425878 ]), array([ -57.24037992,  104.3460586 ]), array([ -58.25350913,  106.00762569]), array([ -59.20058696,  107.65977692]), array([ -60.31758417,  109.30327119]), array([ -61.31345561,  110.88703181]), array([ -62.28982182,  112.46262582]), array([ -63.36297363,  114.03721182]), array([ -64.40217713,  115.67460239]), array([ -65.46312862,  117.17911494]), array([ -66.50076696,  118.90886159]), array([ -67.65337924,  120.53106551]), array([ -68.52469495,  122.16125771]), array([ -69.65907579,  123.77132421]), array([ -70.62844943,  125.27933745]), array([ -71.72780897,  126.93228693]), array([ -72.70412239,  128.50828233]), array([ -73.81432535,  130.17824598]), array([ -74.77534851,  131.72734836]), array([ -75.89012119,  133.39410161]), array([ -76.87909805,  135.04017533]), array([ -78.06651888,  136.61348743]), array([ -79.03876259,  138.15839879]), array([ -80.10605918,  139.74087318]), array([ -81.08586265,  141.33312406]), array([ -82.15193141,  142.92544367]), array([ -83.20567018,  144.44645056]), array([ -84.35881746,  146.06301892]), array([ -85.32379784,  147.68679441]), array([ -86.32160872,  149.23386341]), array([ -87.45239953,  150.90892116]), array([ -88.49139357,  152.43299005]), array([ -89.65606358,  154.05108981]), array([ -90.6154824 ,  155.62508768]), array([ -91.65263934,  157.17521287]), array([ -92.70860073,  158.7852867 ]), array([ -94.00639497,  160.36765794]), array([ -94.94989483,  161.94501076])]","[0, 99]"
3,"[array([ 35.53030213, -37.98108707]), array([ 36.58993323, -38.99049845]), array([ 37.73895411, -39.91195232]), array([ 38.84808023, -41.02328808]), array([ 39.88681485, -41.96356668]), array([ 40.96676888, -43.06798463]), array([ 41.99237714, -44.16401797]), array([ 43.12271052, -45.16966773]), array([ 44.11293542, -46.17573698]), array([ 45.24677446, -47.1217626 ]), array([ 46.21429798, -48.03350576]), array([ 47.38185586, -49.12351179]), array([ 48.43395319, -50.12316845]), array([ 49.48179825, -50.97460124]), array([ 50.56672583, -52.14965265]), array([ 51.67781716, -53.17035654]), array([ 52.72147301, -54.17199676]), array([ 53.91116879, -55.18044849]), array([ 55.02881732, -56.18496518]), array([ 56.04409712, -57.1527174 ]), array([ 57.13318422, -58.1715594 ]), array([ 58.28342295, -59.20025499]), array([ 59.41162371, -60.23696653]), array([ 60.49802513, -61.22926037]), array([ 61.67098927, -62.25287361]), array([ 62.82612295, -63.28632549]), array([ 63.98316768, -64.39595592]), array([ 65.1448139 , -65.41513411]), array([ 66.2560254 , -66.32999299]), array([ 67.33740178, -67.3414992 ]), array([ 68.43345324, -68.35077158]), array([ 69.52589893, -69.38111742]), array([ 70.69985274, -70.33940547]), array([ 71.84383269, -71.34924844]), array([ 72.86722885, -72.43877166]), array([ 73.90321485, -73.51870508]), array([ 75.17019459, -74.45243239]), array([ 76.31799679, -75.50396072]), array([ 77.37281862, -76.52058109]), array([ 78.65063769, -77.59605256]), array([ 79.73600628, -78.65700704])]","[59, 99]"
