,0,1
0,"[array([ 48.17930526, -41.58182692]), array([ 48.54333938, -40.70273071]), array([ 47.98381832, -40.35637662]), array([ 46.78647782, -38.10602566]), array([ 48.48411372, -36.6215932 ]), array([ 48.02072169, -35.95763257]), array([ 48.38277181, -34.96380783]), array([ 48.35901564, -31.67277472]), array([ 47.82182248, -31.12747365]), array([ 48.53281892, -28.97228007]), array([ 49.34910029, -28.10880686]), array([ 49.56654104, -26.77355654]), array([ 50.60132291, -26.13962996]), array([ 50.19295088, -24.3560332 ]), array([ 50.6804696 , -21.72720722]), array([ 51.70062284, -20.08072882]), array([ 52.33516116, -18.40703459]), array([ 52.345154  , -16.83503912]), array([ 53.83489898, -14.43287368]), array([ 54.17184455, -11.98598117]), array([ 53.48222934, -10.1409676 ]), array([ 53.74210129,  -8.86160623])]","[0, 22]"
1,"[array([-11.15409313,  22.86120506]), array([-13.59676135,  21.76200466]), array([-15.67286634,  21.11163535]), array([-17.09810114,  20.64377834]), array([-16.95737871,  20.41936076]), array([-18.49285965,  19.29519025]), array([-19.90692316,  18.37452373]), array([-20.74222948,  17.61950947]), array([-21.68053479,  16.37998918]), array([-23.84864768,  15.12782265]), array([-25.19029296,  14.02693159]), array([-26.45003115,  13.28360131]), array([-28.60144986,  13.13575825]), array([-28.97811242,  11.35308154]), array([-31.34895869,  10.86234051]), array([-30.57996495,   9.98073614]), array([-32.63407882,   8.94772473]), array([-32.96211949,   9.69456736]), array([-35.51301593,   8.83563706]), array([-35.7151291 ,   7.92410837]), array([-37.57942421,   7.63496465]), array([-39.71653694,   7.93328761]), array([-40.84147196,   8.07862818]), array([-42.30295159,   6.61127876]), array([-42.26361902,   7.60734461]), array([-45.57080862,   8.12628655]), array([-45.9118143 ,   7.56848684]), array([-47.17933301,   7.10352153]), array([-48.26188534,   7.30501754]), array([-49.79823977,   6.64685675]), array([-52.1104837 ,   6.02529497]), array([-53.45145877,   5.54136236]), array([-55.74166758,   3.37645447]), array([-56.82822606,   4.57731179]), array([-58.20873572,   3.65749506]), array([-59.60184487,   3.45923377]), array([-61.27872103,   3.62699111]), array([-62.8325972 ,   2.82646644]), array([-63.86018783,   1.49448293]), array([-65.16090685,   1.66113149]), array([-66.6210253 ,   1.54791695]), array([-68.4377223 ,   1.18079703]), array([-69.79726482,   0.84016596]), array([-71.13773425,   0.8786315 ]), array([-73.28199036,   1.44476708]), array([-73.71089175,   0.62086379]), array([-75.47653371,   0.75675115]), array([-77.19311595,   0.26381942]), array([-78.68615134,   0.80597309]), array([-80.98961538,   0.40035769]), array([-82.82556381,  -0.32916641]), array([-84.27759626,   0.691262  ]), array([-85.37758857,   0.45904458]), array([-86.84984949,   0.22955524]), array([-88.27000418,  -0.15893249]), array([-89.86024057,  -0.19303197]), array([-91.56437581,  -0.54035323]), array([-92.31912389,   0.25340982]), array([-94.74066685,   0.3242479 ]), array([ -9.55018097e+01,   6.87660260e-02]), array([ -9.58488114e+01,   4.17758179e-02]), array([-97.71614065,   1.41808151]), array([-98.75192308,  -0.34240088]), array([-99.51058541,   1.27245203]), array([-101.19121993,    0.80454481]), array([-101.59655378,    0.22337326]), array([-102.24704929,    1.19740763]), array([-103.43314946,    1.00117959]), array([-103.45468423,    2.41468445]), array([-105.70464041,    0.96232243]), array([-106.73182987,    1.51723425]), array([-109.11461375,    2.4955914 ]), array([-109.30658079,    2.71367106]), array([-111.07408671,    3.05178689]), array([-111.31491583,    3.94786696]), array([-112.52217461,    3.55378458]), array([-114.99351739,    2.24692478]), array([-116.0987088,    3.6911822]), array([-117.3755439 ,    2.47641519]), array([-118.98376993,    3.16912976]), array([-120.80317984,    3.21968493]), array([-121.42573998,    4.52947182]), array([-122.41735304,    3.76242565]), array([-123.7079773 ,    4.86324839]), array([-125.77302975,    5.27565722]), array([-126.54001718,    5.822359  ]), array([-128.20259691,    5.50282635]), array([-128.00786931,    5.33806084]), array([-130.90811248,    5.72243115]), array([-132.11808427,    6.4004572 ]), array([-133.2313393 ,    6.13820959]), array([-134.51883387,    7.90070769]), array([-136.80178325,    7.25046443]), array([-139.5189044 ,    6.51558128]), array([-139.72111602,    6.92922791]), array([-141.55938052,    6.99397555]), array([-143.01313728,    7.89201679]), array([-144.87366263,    7.3711436 ]), array([-146.70069813,    7.66255912]), array([-148.24002394,    7.80319858])]","[0, 99]"
2,"[array([ 28.08082331,  10.29889518]), array([ 29.12753648,   8.71395042]), array([ 29.92818144,   8.14222728]), array([ 30.84670081,   5.98210471]), array([ 30.77448068,   4.28990547]), array([ 32.2760524 ,   3.09476436]), array([ 33.32634402,   2.24704227]), array([ 35.33733951,   0.57033194]), array([ 36.07634578,  -1.01014505]), array([ 35.83763991,  -1.69761651]), array([ 37.14944381,  -2.8244499 ]), array([ 38.76922869,  -3.24664719]), array([ 39.31721578,  -3.6535836 ]), array([ 40.2375768 ,  -4.19324412]), array([ 40.44115437,  -4.91980425]), array([ 41.79026218,  -5.61429492]), array([ 42.0710826 ,  -6.09385371]), array([ 43.13213988,  -6.9103716 ]), array([ 44.15336648,  -7.4486239 ]), array([ 44.48764421,  -7.27346876]), array([ 44.17961898,  -8.62995841]), array([ 46.021011  ,  -8.10563197]), array([ 46.20004156,  -9.78634257]), array([ 46.87110757, -10.38461055]), array([ 47.33634088, -10.51581766]), array([ 47.201809  , -12.74517156]), array([ 48.56733637, -11.91157997]), array([ 49.10735954, -12.90138861]), array([ 49.67957772, -13.86690538]), array([ 50.99688207, -14.93947378]), array([ 51.05826503, -14.92550822]), array([ 51.3225908 , -15.65462861]), array([ 52.09686017, -15.51707911]), array([ 53.03301114, -17.24993955]), array([ 54.0290658 , -16.61154086]), array([ 53.90242277, -17.22238934]), array([ 55.28421212, -17.89909228]), array([ 56.0142337 , -18.97551235]), array([ 56.82021509, -18.84256496]), array([ 57.76478419, -20.12295258]), array([ 58.91106943, -20.7199886 ]), array([ 58.1437497 , -21.66014269]), array([ 59.89061258, -22.41731286]), array([ 58.69134312, -23.1227955 ]), array([ 59.6104548 , -24.60043459]), array([ 60.11886385, -26.29764788]), array([ 61.34589682, -26.39739966]), array([ 61.49671937, -28.05290741]), array([ 61.784291  , -28.67290481]), array([ 61.78765462, -29.3715492 ]), array([ 63.8575885 , -31.24631693]), array([ 64.20298789, -31.6689967 ]), array([ 65.20865849, -32.53147933]), array([ 65.09380206, -32.54797291]), array([ 66.09633147, -34.47313402]), array([ 67.68359871, -34.23771553]), array([ 68.62454808, -36.04695198]), array([ 69.28213852, -37.11952995]), array([ 70.35107238, -37.45794713]), array([ 71.74857298, -38.02645498]), array([ 72.41517573, -40.02170706]), array([ 74.12142556, -40.54563837]), array([ 74.77933431, -41.50882454]), array([ 76.03119237, -42.45892044]), array([ 77.29372428, -44.43878586]), array([ 78.21511175, -45.04639905]), array([ 79.43514303, -46.59852272]), array([ 80.72757637, -48.63243086]), array([ 82.61035544, -50.46577214]), array([ 82.39962073, -51.91118537]), array([ 84.09414183, -54.27688852]), array([ 84.81404411, -55.2921595 ]), array([ 86.20564182, -57.18023028]), array([ 87.28829301, -59.96295269]), array([ 88.13531844, -61.49238885]), array([ 89.6629817 , -63.47647197]), array([ 90.73917474, -65.76707817]), array([ 91.76441675, -66.89645856]), array([ 93.07142325, -69.24167733]), array([ 93.84493357, -69.46363987]), array([ 95.18801646, -72.31821201]), array([ 95.76437216, -73.81003126]), array([ 96.51541038, -76.14958941]), array([ 98.32922506, -76.6150979 ]), array([ 98.97618051, -79.29421584]), array([ 99.98278019, -80.86304727]), array([ 101.96902623,  -82.0672635 ]), array([ 101.65865098,  -84.45946579]), array([ 104.25499286,  -86.31152991]), array([ 104.06978139,  -87.63065707]), array([ 105.01268445,  -90.28350826]), array([ 106.64193912,  -90.68518318]), array([ 107.40003948,  -93.22660181]), array([ 109.08242882,  -94.19420214]), array([ 109.56478059,  -95.76808809]), array([ 111.39667032,  -97.75049064]), array([ 111.16673731,  -99.48054486]), array([ 112.5516319 , -100.54034729]), array([ 113.89395721, -103.45669879]), array([ 115.2689289 , -104.68688792])]","[0, 99]"
3,"[array([ 54.98051365,  -6.36610959]), array([ 55.1333808 ,  -4.90378872]), array([ 56.17920211,  -2.72736996]), array([ 55.91101933,  -0.42025663]), array([ 55.82619059,   1.09308899]), array([ 56.94545037,   2.64676714]), array([ 57.09611898,   4.69392885]), array([ 57.745716  ,   5.68887923]), array([ 57.92766582,   7.91314034]), array([ 58.78932357,  10.30146365]), array([ 58.70671852,  11.72931971]), array([ 59.60137784,  15.09629979]), array([ 60.17784655,  15.96843348]), array([ 60.51685748,  17.80519017]), array([ 59.81688597,  19.45609174]), array([ 61.82053041,  21.33475733]), array([ 61.76383571,  23.27739883]), array([ 60.85532768,  25.75965888]), array([ 61.31392377,  27.34767214]), array([ 61.90897277,  30.27510023]), array([ 62.6633616 ,  30.53607395]), array([ 62.60685562,  32.87634982]), array([ 62.17961995,  36.60864269]), array([ 61.83131349,  38.62797456]), array([ 62.08663404,  40.408789  ]), array([ 61.64434742,  41.97183544]), array([ 60.99439521,  45.16480277]), array([ 60.70065441,  48.87616405]), array([ 60.62719752,  50.49905561]), array([ 61.09913174,  52.31057501]), array([ 59.93048051,  57.39090323]), array([ 60.66453394,  60.11860314]), array([ 60.44502545,  63.40529222]), array([ 59.46008063,  66.45870024]), array([ 59.69987148,  70.45934075]), array([ 58.99058379,  73.28252874]), array([ 58.81464598,  76.46569886]), array([ 59.04759855,  79.68227269]), array([ 57.06794524,  82.591697  ]), array([ 57.6381937 ,  86.74704001]), array([ 56.9789605,  90.435673 ]), array([ 56.2634655 ,  93.61515976]), array([ 55.29725251,  97.26973109]), array([  55.56463539,  101.42137923]), array([  53.82878657,  104.98673672]), array([  53.48381648,  107.87278102]), array([  52.97396458,  111.51128654]), array([  51.84658639,  113.94637696]), array([  51.49058035,  117.36481889]), array([  51.18931922,  121.30825992]), array([  50.36039804,  124.4362379 ]), array([  49.97429916,  128.54980362]), array([  48.80993254,  130.53504006]), array([  47.7475137 ,  134.36604299]), array([  46.65878019,  137.8844673 ]), array([  46.66397126,  140.4395313 ]), array([  46.74441312,  142.20990829]), array([  46.08909545,  145.87138125]), array([  45.42067937,  149.12729868]), array([  44.22817539,  151.84285532]), array([  43.8207539 ,  154.55659934]), array([  43.73033091,  157.49853443]), array([  41.89345758,  161.11650216]), array([  42.82509684,  163.79096228]), array([  40.56232787,  164.65789121]), array([  39.79584489,  168.35685514]), array([  39.72744142,  169.74868453]), array([  38.52239321,  172.52395162]), array([  38.05310258,  175.13371285]), array([  38.01199955,  177.4667411 ]), array([  37.31660183,  180.40841087]), array([  36.59423942,  183.31183485]), array([  36.44740766,  183.80367823]), array([  36.49506177,  186.9933253 ]), array([  35.23190378,  189.53278576]), array([  35.99215787,  191.19587657]), array([  34.51239901,  192.84005683]), array([  35.16464735,  195.46893808])]","[22, 99]"
