,0,1
0,"[array([-39.63057437,   4.51259177]), array([-40.20892727,   3.76580485]), array([-40.99427754,   2.82314602]), array([-41.9919808,   1.7622802]), array([ -4.34361930e+01,   2.45349932e-02]), array([-44.20668843,  -0.31854433])]","[0, 6]"
1,"[array([-28.36471923,  -7.00857684]), array([-30.33343189,  -6.4867486 ]), array([-32.81269927,  -5.69412406]), array([-33.89064257,  -5.32862792]), array([-36.56619178,  -4.52498458]), array([-38.02366403,  -4.12519972])]","[0, 6]"
2,"[array([  9.79445092,  28.1813064 ]), array([  8.45262057,  30.00866915]), array([  7.51350561,  31.29017085]), array([  6.13347524,  32.31738226]), array([  5.38583714,  33.46613608]), array([  5.38338535,  34.64034839]), array([  4.54263661,  37.30771937]), array([  3.21077768,  37.4481859 ]), array([  2.09949558,  38.97049592]), array([  1.9264693,  40.4709146]), array([  0.93989067,  40.00015016]), array([ -1.15473131,  41.56109772]), array([ -0.89567961,  42.93235944]), array([ -1.84328973,  44.29559763]), array([ -3.38194125,  44.57476058]), array([ -3.68042879,  45.68886634]), array([ -5.00360381,  46.63588741]), array([ -5.46255954,  47.90896171]), array([ -7.17143293,  47.85572765]), array([ -6.88841411,  49.53548752]), array([ -8.20187503,  50.64193414]), array([ -8.37005603,  50.97793508]), array([-10.30549765,  51.15362511]), array([-10.04534004,  51.65191502]), array([-11.55505104,  52.0614486 ]), array([-11.94160218,  53.34837522]), array([-12.12755062,  54.79619298]), array([-13.6899998 ,  54.21552142]), array([-14.84655897,  55.04040788]), array([-15.20027996,  55.87927337]), array([-17.90099566,  56.44944899]), array([-18.40898038,  58.82918232]), array([-19.46997322,  58.63960375]), array([-20.49385844,  59.33600792]), array([-21.4329033 ,  59.98480495]), array([-23.00120144,  59.86600967]), array([-23.36838844,  61.28948027]), array([-26.22761404,  62.2610548 ]), array([-25.01860584,  63.82157128]), array([-26.49346593,  64.63408917]), array([-27.11759176,  66.37145239]), array([-28.45997458,  65.73189177]), array([-29.39643569,  67.9500458 ]), array([-30.0219479 ,  68.00485797]), array([-32.40300532,  69.99541777]), array([-33.01989225,  71.83919124]), array([-33.82984333,  71.51034558]), array([-36.36122202,  71.63525577]), array([-36.71557968,  73.19838083]), array([-39.00301529,  74.26124907]), array([-39.59716478,  74.86190717]), array([-39.78045403,  75.60341339]), array([-41.03845146,  77.57820575]), array([-42.57841471,  77.87638275]), array([-43.70207468,  79.54081985]), array([-43.96367416,  80.83477647]), array([-45.76266699,  81.10288036]), array([-47.70246117,  83.6672842 ]), array([-48.79376963,  84.40747355]), array([-51.18945047,  86.467602  ]), array([-52.13083044,  87.19029346]), array([-52.9644607 ,  88.82886512]), array([-53.69348958,  91.12682412]), array([-54.72443208,  93.17999057]), array([-56.96358523,  93.47954421]), array([-58.22151872,  94.92443507]), array([-59.09719969,  96.3454028 ]), array([-61.32134554,  97.99668187]), array([-61.4944249 ,  99.33233048]), array([ -63.63459279,  100.52017623]), array([ -65.28546515,  102.97585785]), array([ -67.89215675,  103.66866312]), array([ -67.78495994,  105.20246593]), array([ -70.75006919,  107.37532572]), array([ -71.33516251,  107.75350203]), array([ -74.18968704,  109.95495215]), array([ -76.30441861,  112.01124804]), array([ -78.81192551,  113.4940342 ]), array([ -80.37987633,  114.69788291]), array([ -81.62027006,  116.37909491]), array([ -83.4568526 ,  118.69982327]), array([ -85.42790358,  119.88090087]), array([ -87.18688282,  121.62178998]), array([ -90.05689208,  123.09636154]), array([ -90.99569024,  124.70835757]), array([ -93.36560925,  126.51530856]), array([ -95.72454222,  128.05158953]), array([ -97.2781821 ,  128.72071485]), array([-100.04616339,  130.15876906]), array([-102.1812786 ,  132.27786533]), array([-104.84202098,  133.90890296]), array([-106.44418334,  135.10690014]), array([-109.81322395,  136.35499929]), array([-111.46240238,  138.29939409]), array([-113.32227125,  139.09185009]), array([-116.35646666,  140.6662042 ]), array([-118.40693028,  141.73527646]), array([-120.44765693,  144.37857865]), array([-122.9952164 ,  145.09189842]), array([-125.46406624,  146.73356776])]","[0, 99]"
3,"[array([-48.46657489,  -5.22853014]), array([-48.64141984,  -5.33660456]), array([-49.80612721,  -6.23729496]), array([-50.898153  ,  -7.04843017]), array([-51.03800221,  -8.31285132]), array([-52.3436472 ,  -9.13290863]), array([-53.47528824,  -9.96626056]), array([-54.12364546, -10.94640398]), array([-54.65351307, -11.64752473]), array([-54.52265159, -12.50917328]), array([-55.76529862, -12.39512763]), array([-58.37739166, -13.28829292]), array([-58.0413863, -13.7741883]), array([-60.00437167, -14.84673863]), array([-61.31447912, -14.88077588]), array([-59.94913665, -14.94615863]), array([-60.63823366, -15.73158974]), array([-61.45328199, -15.95931872]), array([-61.95291873, -15.63665619]), array([-62.2150517 , -16.39880793]), array([-62.93806219, -16.17114328]), array([-63.34444549, -16.40927996]), array([-64.57716104, -16.67244847]), array([-64.69869976, -17.12507911]), array([-65.34899176, -17.13337489]), array([-65.52547241, -17.39962964]), array([-66.3184105 , -17.02893814]), array([-66.09257895, -17.86681823]), array([-66.6179535 , -17.79903795]), array([-67.32071841, -17.41349096]), array([-67.32999362, -17.41270345]), array([-68.00876337, -17.49087022]), array([-68.2376789 , -17.09828814]), array([-68.50306439, -16.83886129]), array([-69.08529841, -17.43779396]), array([-69.33308688, -17.54221139]), array([-70.35058182, -15.95098997]), array([-70.88216102, -15.92367864]), array([-72.23459765, -15.86444419]), array([-72.72547494, -15.78458183]), array([-73.26890307, -15.83568319]), array([-73.55116345, -15.66642476]), array([-75.48308997, -16.30404882]), array([-75.24301031, -15.64632007]), array([-75.19457326, -15.56962706]), array([-76.02154539, -14.93647161]), array([-76.22817244, -15.15810245]), array([-77.95408655, -15.64500282]), array([-77.57608252, -14.93804729]), array([-77.95601732, -14.37371723]), array([-78.83837266, -14.03513955]), array([-79.14149058, -13.86863573]), array([-79.882561  , -13.97081959]), array([-79.64789181, -13.60656381]), array([-80.09994618, -12.4090916 ]), array([-80.08938038, -11.59327762]), array([-80.29387377, -12.57292292]), array([-81.16080747, -12.29361214]), array([-81.10941118, -13.10157891]), array([-82.02652618, -13.76001077]), array([-82.73625965, -13.58776211]), array([-82.46573608, -14.33731471]), array([-83.68046987, -14.9298688 ]), array([-83.19337549, -14.89770331]), array([-84.36676201, -14.40528221]), array([-85.43097877, -15.4789514 ]), array([-86.11697679, -17.13507837]), array([-87.82537229, -17.29364919]), array([-87.21826368, -19.09518973]), array([-88.32769799, -18.64969908]), array([-89.5835923 , -18.33247545]), array([-91.42907941, -20.0310989 ]), array([-91.52000809, -20.62368018]), array([-94.1417227 , -21.16548903]), array([-93.37986707, -21.73470572]), array([-95.78196222, -21.71762825]), array([-95.21347402, -22.73511757]), array([-97.42189926, -23.95647257]), array([-98.11397711, -25.06083026]), array([-98.9454239 , -24.32373547]), array([-100.62582701,  -24.51614416]), array([-102.32410238,  -24.82658536]), array([-102.7724723 ,  -25.34668114]), array([-104.58877284,  -25.67751168]), array([-105.10066683,  -26.40712752]), array([-105.73150192,  -25.50843147]), array([-106.43848923,  -26.4417632 ]), array([-107.59749729,  -27.82074275]), array([-109.35652843,  -27.42612184]), array([-109.21777429,  -27.6629223 ]), array([-109.48984179,  -28.92963306])]","[9, 99]"
4,"[array([-54.49821044,  -0.31883751]), array([-57.0194091 ,   0.70342171]), array([-58.76250338,   1.36390767]), array([-62.17800912,   1.1882372 ]), array([-63.76092226,   1.3492021 ]), array([-64.96774571,   2.14784406]), array([-67.46247112,   2.86048647]), array([-69.31284133,   2.43139878]), array([-71.38522168,   3.14365212]), array([-73.66961062,   2.50732276]), array([-75.49054708,   3.72084202]), array([-76.55817568,   3.34757625]), array([-78.82055998,   3.48404341]), array([-80.2341476 ,   2.85208293]), array([-82.54988852,   3.71718332]), array([-85.11716815,   3.09211578]), array([-86.1157721 ,   2.69132853]), array([-87.91337505,   3.73248536]), array([-89.19144698,   4.1702451 ]), array([-92.70069948,   4.2209981 ]), array([-94.24251026,   3.93179761]), array([-95.91301149,   3.65107244]), array([-98.08765953,   4.89494372]), array([-99.12763569,   4.03331411]), array([-102.93132144,    4.41068954]), array([-105.74672389,    4.83705356]), array([-107.14297998,    4.10076195]), array([-110.33475591,    4.063108  ]), array([-112.19512122,    4.34943813]), array([-114.63821237,    4.01439332]), array([-116.79239059,    3.09285756]), array([-119.96089598,    3.92680297]), array([-121.04263252,    2.64020244]), array([-123.055513  ,    2.84461693]), array([-126.74562095,    1.26763931]), array([-127.4138884 ,    1.82385598]), array([-130.91914927,    1.09112569]), array([-131.94938965,    0.64761142]), array([ -1.34912988e+02,   5.22778305e-02]), array([-135.76068578,   -0.93641498]), array([ -1.38983999e+02,   1.37563705e-01]), array([-140.88852075,   -1.52668123]), array([-142.80506807,   -1.88183996]), array([-145.81690116,   -1.94919105]), array([-147.38998898,   -3.59603749]), array([-149.5601533 ,   -3.17579556]), array([-152.49138439,   -3.26857727]), array([-153.19394656,   -3.7258817 ]), array([-155.67484896,   -2.54927567]), array([-157.66068471,   -3.32064694]), array([-160.95095824,   -3.16450426]), array([-163.45960204,   -3.66122074]), array([-165.7758489 ,   -4.17506872]), array([-169.05719453,   -3.60286453]), array([-171.29331876,   -4.93276361]), array([-172.74459738,   -4.91520909]), array([-175.30862363,   -4.87997149]), array([-178.54318656,   -5.40538319]), array([-179.79194231,   -4.68915473]), array([-183.4720515 ,   -5.39914522]), array([-184.57646637,   -6.61595992]), array([-187.31238526,   -7.15285654]), array([-189.16414758,   -6.78714707]), array([-191.43032615,   -7.24572339]), array([-194.39740036,   -6.96293968]), array([-196.76485574,   -7.20318956]), array([-199.14407819,   -7.56107563]), array([-201.36310678,   -8.34676214]), array([-203.58003406,   -8.07311563]), array([-205.97092175,   -7.75051895]), array([-208.54761022,   -8.4018396 ]), array([-210.46573562,   -8.38508987]), array([-212.80544035,   -9.26364749]), array([-214.55806815,   -8.94141497]), array([-216.73838424,   -9.70708737]), array([-218.59054669,   -9.77434128]), array([-220.77708037,   -9.39731278]), array([-222.77315307,   -9.18207782]), array([-224.49112512,   -9.61285075]), array([-226.55563795,   -9.60350843]), array([-227.39345141,   -9.46257336]), array([-229.26630745,   -8.55674381]), array([-230.83121014,   -8.85358882]), array([-230.94007928,   -9.72602955]), array([-232.78565948,   -8.65038109]), array([-232.85196207,  -10.71502566]), array([-235.55240322,   -9.61553495])]","[13, 99]"
