-13.353,16.136
-10.649,13.252
-8.5605,10.913
-6.9538,9.0169
-5.674,7.5049
-4.6618,6.2854
-3.8466,5.2855
-3.1865,4.4653
-2.651,3.7898
-2.2358,3.256
-1.8767,2.7947
-1.567,2.3999
-1.3021,2.0639
-1.0777,1.779
-0.88777,1.5399
-0.72733,1.3408
-0.59164,1.1766
-0.47656,1.0425
-0.37836,0.93436
-0.29448,0.84953
-0.22209,0.78486
-0.15882,0.73795
-0.1027,0.70686
-0.052133,0.69011
-0.0057137,0.68654
0.037764,0.69536
0.079372,0.71602
0.12008,0.74823
0.16077,0.79191
0.2023,0.84719
0.24544,0.9144
0.291,0.99407
0.33976,1.0869
0.39254,1.1939
0.45018,1.316
0.51357,1.4548
0.58367,1.6117
0.66154,1.7886
0.74833,1.9876
0.84534,2.2113
0.95397,2.4624
1.0757,2.7434
1.2124,3.0578
1.3658,3.4093
1.5383,3.802
1.732,4.2406
1.9497,4.7297
2.1944,5.2748
2.469,5.8819
2.7771,6.5568
3.1226,7.3064
3.5095,8.1374
3.9422,9.0569
4.4253,10.072
4.9632,11.189
5.5602,12.417
6.2247,13.768
6.9902,15.347
7.8568,17.125
8.8391,19.139
9.9557,21.423
11.243,24.002
12.712,26.961
14.39,30.33
16.355,34.179
18.62,38.622
21.256,43.727
24.317,49.616
27.867,56.447
32.052,64.376
36.984,73.61
42.844,84.254
