,0,1
0,"[array([-30.36344619, -47.48921264]), array([-28.57793303, -49.01249395]), array([-25.4294349 , -49.08840079]), array([-24.87912759, -49.93635395]), array([-22.12715732, -49.57946204]), array([-20.35481703, -49.26626947])]","[0, 6]"
1,"[array([ 29.49003607,  44.90913677]), array([ 30.65290627,  43.18413102]), array([ 30.64299725,  43.09009013]), array([ 31.99041133,  42.57182519]), array([ 31.72634038,  41.99745455]), array([ 32.79375572,  41.41129463]), array([ 34.58904397,  41.4143254 ]), array([ 34.05451633,  41.12400552]), array([ 35.06075518,  41.47913836]), array([ 36.25029221,  40.7453716 ]), array([ 37.01485246,  40.68129432]), array([ 38.59856208,  40.19154768]), array([ 38.80136848,  39.36897253]), array([ 39.90763291,  39.36510651]), array([ 40.86357028,  38.44027744]), array([ 41.33219757,  39.51671813]), array([ 43.37400288,  38.46796597]), array([ 43.9688572,  39.830815 ]), array([ 45.60067812,  38.7858969 ]), array([ 45.60444032,  38.78943741]), array([ 46.62747821,  37.27058153]), array([ 47.30147605,  39.50145856]), array([ 46.86662221,  38.29091127]), array([ 48.26637558,  38.36154302]), array([ 49.42474878,  39.35138282]), array([ 49.93829225,  37.25731934]), array([ 50.73098068,  38.72457705]), array([ 51.38211121,  38.32039443]), array([ 51.19808689,  37.89682196]), array([ 53.72635243,  37.70206016]), array([ 53.62520472,  38.83617102]), array([ 53.84080451,  38.32873079]), array([ 54.40537394,  38.55976498]), array([ 55.25531709,  38.47375388]), array([ 55.94155347,  39.25923154]), array([ 56.36087485,  38.38688915]), array([ 56.48632098,  38.75240598]), array([ 58.17735056,  38.68040065]), array([ 57.15159046,  39.9863346 ]), array([ 58.5227909 ,  39.62824355]), array([ 59.21663342,  40.15786306]), array([ 59.05785324,  40.07289644]), array([ 60.66094553,  39.97987651]), array([ 59.40626031,  41.14284269]), array([ 60.04415408,  41.37296264]), array([ 60.93042282,  40.99772951]), array([ 62.03419102,  41.48151915]), array([ 62.04152382,  42.34913398]), array([ 62.23960731,  42.54537857]), array([ 61.93727804,  43.86844384]), array([ 63.55618687,  42.58934826]), array([ 62.9839041 ,  43.21255858]), array([ 64.13271499,  44.24197904]), array([ 63.12060733,  45.26274714]), array([ 64.19744782,  44.80235945]), array([ 64.86135723,  45.25105441]), array([ 64.01653058,  45.76489141]), array([ 65.77966227,  44.82043211]), array([ 65.90821317,  45.27660832]), array([ 66.12252968,  44.14506062]), array([ 66.59227527,  44.73695971]), array([ 66.22058329,  45.36677151]), array([ 67.58772168,  43.85813035]), array([ 66.45688913,  43.63219851]), array([ 67.8161137 ,  45.49474013]), array([ 69.18211666,  44.02825045]), array([ 68.52686167,  45.19354608]), array([ 68.9788944,  44.3963771]), array([ 69.19980718,  44.51654006]), array([ 69.02625315,  45.95691655]), array([ 70.16633118,  44.85140035]), array([ 69.92258502,  45.91068514]), array([ 70.96975484,  45.85679748]), array([ 70.55668292,  46.11311785]), array([ 70.98226194,  46.73881136]), array([ 71.06046103,  47.43421721]), array([ 71.71563611,  47.57104915]), array([ 72.23237344,  48.38068559]), array([ 72.97122893,  48.07554298]), array([ 73.31438748,  48.407084  ]), array([ 74.07974604,  48.33127873]), array([ 74.84563049,  48.21138871]), array([ 74.05107193,  49.1543229 ]), array([ 75.4269719,  48.6359091]), array([ 76.28609543,  49.05200789]), array([ 76.94103936,  48.62594978]), array([ 77.46089102,  49.46909338]), array([ 78.06546424,  49.99103011]), array([ 78.16154355,  50.35871965]), array([ 80.1178923 ,  49.64921701]), array([ 80.88159013,  50.56857912]), array([ 81.66020143,  50.92272796]), array([ 81.06507649,  49.6636071 ]), array([ 81.80609824,  50.57563796]), array([ 82.80697423,  50.09811144]), array([ 83.12086846,  50.02526986]), array([ 83.93746411,  50.23099405]), array([ 84.36424066,  50.28362621]), array([ 85.99400334,  50.60523091]), array([ 86.82556724,  51.18104959])]","[0, 99]"
2,"[array([-21.19353146, -36.45470794]), array([-21.89526581, -36.77858351]), array([-21.06862743, -38.43814933]), array([-21.97976315, -39.01987946]), array([-22.55447917, -40.49613967]), array([-22.41336222, -41.48913886]), array([-23.15603228, -41.98325146]), array([-23.41026246, -43.82414355]), array([-23.58787576, -44.61834845]), array([-24.47891792, -46.14935494]), array([-25.35612358, -46.62916851]), array([-25.4906433, -48.8006183]), array([-26.70771626, -50.78203614]), array([-27.88236663, -50.04438212]), array([-29.02442821, -52.18227765]), array([-29.51666278, -53.79962357]), array([-31.15874081, -55.41908807]), array([-32.09490078, -56.43688122]), array([-33.18141196, -57.81949639]), array([-34.46516014, -58.94697117]), array([-36.01611001, -60.35587838]), array([-36.30056331, -60.93174802]), array([-35.70479837, -61.55920345]), array([-38.35080746, -63.34569833]), array([-39.23141444, -64.43107913]), array([-39.65518644, -64.91539424]), array([-42.82934313, -66.80205796]), array([-44.80036066, -68.11384666]), array([-45.11532016, -68.80526181]), array([-46.03223799, -69.67350282]), array([-47.25941159, -71.7547134 ]), array([-49.45664628, -71.23691237]), array([-49.57752914, -73.71695118]), array([-50.75640547, -73.5921688 ]), array([-52.86705688, -75.34684317]), array([-54.75908842, -76.47570819]), array([-56.30208856, -77.37814504]), array([-57.52967966, -77.93678397]), array([-58.13880927, -79.135298  ]), array([-60.18894965, -79.55590935]), array([-61.80836069, -81.20508863]), array([-63.95536504, -83.31411663]), array([-65.87433461, -83.05496852]), array([-67.68207152, -84.46604426]), array([-69.83412386, -83.96473418]), array([-71.69592036, -86.55018796]), array([-74.15138774, -87.50994676]), array([-77.36049131, -87.99191744]), array([-78.23367601, -88.65910047]), array([-80.24745649, -90.3584528 ]), array([-82.7840656 , -90.76118344]), array([-84.60852969, -91.65342588]), array([-86.95822657, -92.67896481]), array([-88.72165481, -93.39436012]), array([-91.43574707, -93.11491864]), array([-93.38340224, -94.0085091 ]), array([-96.0236383 , -94.71284531]), array([-97.54122196, -95.82376283]), array([-100.20642895,  -96.44739437]), array([-102.54382489,  -96.27891868]), array([-104.54364511,  -97.03759483]), array([-107.4005834 ,  -98.97012779]), array([-109.83155164,  -98.79151092]), array([-110.63326327, -100.55579956]), array([-112.35622528, -100.48801973]), array([-114.24294099, -101.61402688]), array([-117.15765562, -102.10599915]), array([-119.46606884, -103.03117912]), array([-121.18571388, -102.89030993]), array([-123.91826767, -103.3912232 ]), array([-126.14823962, -105.38212389]), array([-129.00622884, -106.13202459]), array([-132.71806748, -106.88248108]), array([-133.45326691, -109.02299483]), array([-135.93835368, -109.20561381]), array([-138.26818627, -110.21119965]), array([-140.29439019, -112.4754727 ]), array([-142.76278657, -113.06974317]), array([-145.4464182 , -114.93280994]), array([-148.47478977, -116.71451026]), array([-150.11619666, -116.83139919]), array([-150.9142426, -118.3692613]), array([-153.28129331, -118.75764704]), array([-155.64966921, -119.74788249]), array([-157.53100912, -120.706321  ]), array([-160.33388644, -121.99369466]), array([-162.06877652, -122.90706744]), array([-163.74949325, -123.77986007]), array([-166.21500555, -124.26707114]), array([-167.52644124, -124.90434126]), array([-168.9543341 , -125.79723497]), array([-170.54481168, -127.62282331]), array([-172.50630596, -128.37511041]), array([-174.2268672 , -128.63032164]), array([-176.03410315, -130.49116344]), array([-177.1606914 , -131.31888583]), array([-179.11251505, -132.39117418]), array([-180.40147875, -133.75674848]), array([-183.08941781, -135.3375951 ]), array([-184.56119367, -135.93338985])]","[0, 99]"
3,"[array([-17.22271002, -51.22891016]), array([-15.94321433, -50.05702199]), array([-13.4420642 , -50.63666066]), array([-12.15831734, -50.42399037]), array([ -9.58600714, -50.6222308 ]), array([ -7.29729664, -50.56367388]), array([ -5.14456257, -51.38651392]), array([ -2.94383894, -51.9850809 ]), array([ -0.31678632, -51.82303091]), array([  2.202186  , -51.88659883]), array([  4.96455816, -51.67842107]), array([  7.30498776, -52.13617745]), array([ 10.97664152, -52.4120696 ]), array([ 12.69273292, -52.98319181]), array([ 16.11160351, -52.12443294]), array([ 18.3713463 , -51.32335476]), array([ 20.64867608, -53.0363438 ]), array([ 23.6022342 , -51.11892076]), array([ 26.00401889, -52.80359127]), array([ 29.07249103, -52.97935815]), array([ 32.30718647, -53.55459733]), array([ 33.73658335, -53.45698766]), array([ 36.58558973, -52.94661091]), array([ 38.94069315, -54.15020695]), array([ 42.61197961, -54.47666051]), array([ 44.39519223, -54.92320996]), array([ 46.45271359, -54.92115007]), array([ 48.11256947, -54.74685305]), array([ 50.77795723, -55.04241529]), array([ 52.66448054, -55.74876612]), array([ 55.80534438, -56.03117789]), array([ 57.93835588, -56.11126819]), array([ 59.87635516, -56.98291717]), array([ 62.61326151, -55.67102886]), array([ 64.87246983, -56.34762939]), array([ 68.6716297 , -56.98345374]), array([ 70.51067519, -57.42521367]), array([ 71.75936469, -58.65048871]), array([ 75.79347219, -57.34644538]), array([ 78.65568962, -58.46426682]), array([ 80.36903966, -58.23877412]), array([ 82.68612562, -58.73930985]), array([ 84.23314062, -58.51622445]), array([ 87.38083811, -59.15590359]), array([ 89.13662882, -58.78683007]), array([ 92.43912414, -57.85204248]), array([ 94.10550753, -58.00193332]), array([ 96.08006334, -58.08304896]), array([ 98.52890136, -58.35979939]), array([ 100.46725789,  -58.39915363]), array([ 103.23407796,  -57.04207924]), array([ 105.85400078,  -57.32497728]), array([ 108.61291456,  -56.90770459]), array([ 110.47720278,  -56.42333254]), array([ 113.21853492,  -57.49565017]), array([ 115.28973505,  -58.39449376]), array([ 117.69743851,  -58.6147496 ]), array([ 119.50503323,  -58.30922598]), array([ 122.20557334,  -57.81259471]), array([ 124.05498126,  -57.42174367]), array([ 126.9734945 ,  -57.61501161]), array([ 127.83617372,  -58.48561384]), array([ 130.40482921,  -57.80309175]), array([ 131.94885183,  -59.47908391]), array([ 134.0393619 ,  -58.35874314]), array([ 136.77889176,  -58.11807847]), array([ 138.08301249,  -57.40948459]), array([ 141.36298357,  -57.37048955]), array([ 143.1497036 ,  -57.18223976]), array([ 146.02693776,  -58.05560363]), array([ 146.27291014,  -58.21953658]), array([ 148.71074391,  -56.90170417]), array([ 151.13995562,  -57.41527349]), array([ 153.87964803,  -56.4517433 ]), array([ 156.04505703,  -56.89040432]), array([ 158.81595238,  -55.95968398]), array([ 159.48727977,  -55.53530646]), array([ 162.81927586,  -54.4694039 ]), array([ 165.89263286,  -55.19370844]), array([ 167.77301692,  -54.12211685]), array([ 170.52771078,  -54.40435095]), array([ 172.87213053,  -54.0208621 ]), array([ 175.73649046,  -53.25682107]), array([ 178.40666764,  -53.80268625]), array([ 180.76878574,  -52.86741799]), array([ 183.15149961,  -53.34400364]), array([ 186.11281877,  -51.73618828]), array([ 188.26250175,  -51.81190596]), array([ 193.22737353,  -51.83519169]), array([ 194.75734197,  -50.86316687]), array([ 197.34844405,  -50.44242692]), array([ 200.0943503 ,  -50.31390801]), array([ 204.91316233,  -50.23440365]), array([ 206.48214639,  -48.80080337])]","[6, 99]"
4,"[array([ 27.90192172, -26.11156408]), array([ 29.12263067, -25.78293633]), array([ 29.76137623, -27.17557187]), array([ 30.57717443, -26.75110164]), array([ 31.83024351, -28.19473325]), array([ 32.28465356, -28.0314842 ]), array([ 32.03888623, -28.97302442]), array([ 32.81988082, -29.71393626]), array([ 34.34054456, -29.24448811]), array([ 34.7873389 , -30.75138751]), array([ 34.86096817, -31.43885271]), array([ 36.82061152, -32.44759112]), array([ 36.98701551, -32.19826087]), array([ 37.36075488, -33.45413783]), array([ 37.93122429, -33.26127697]), array([ 38.92722983, -34.56509812]), array([ 40.29277231, -35.17143219]), array([ 39.12575045, -34.76887698]), array([ 41.02508113, -34.06229161]), array([ 40.71862689, -34.08512594]), array([ 41.77763084, -33.61054725]), array([ 42.33692113, -34.31384603]), array([ 42.08415832, -33.6905001 ]), array([ 42.97259735, -34.15719951]), array([ 43.10614229, -33.79462186]), array([ 42.04091479, -33.45028025]), array([ 44.3857761 , -33.83242979]), array([ 43.98160546, -35.36697961]), array([ 44.930751  , -33.87730862]), array([ 44.7500321 , -34.27702777]), array([ 44.54242646, -34.21615196]), array([ 45.24500862, -35.11203788]), array([ 45.20446703, -34.61636386]), array([ 45.66845943, -34.27507906]), array([ 45.6455474 , -35.01282565]), array([ 46.43171193, -35.4531998 ]), array([ 46.03930189, -35.81855986]), array([ 47.52591288, -35.59082441]), array([ 47.82485933, -35.81378622]), array([ 47.18523561, -36.34196661]), array([ 46.67296594, -36.60868542]), array([ 47.82855717, -37.31400254]), array([ 48.46140128, -36.31544133]), array([ 47.75328817, -37.74286633]), array([ 48.69488699, -37.76567148]), array([ 48.72173359, -36.3621489 ]), array([ 48.46695395, -37.28533001]), array([ 48.26666222, -36.67706496]), array([ 48.81241914, -36.49873313]), array([ 49.38846149, -37.60353127]), array([ 48.82905493, -36.65722645]), array([ 50.10807167, -37.47209843]), array([ 49.46495887, -37.7357703 ]), array([ 50.2650988 , -39.53285121]), array([ 50.79553784, -38.93719066]), array([ 50.17976055, -39.6474197 ]), array([ 52.7855021 , -40.02563114]), array([ 53.10589573, -40.57802384]), array([ 54.08228662, -40.62664092]), array([ 54.91554045, -41.6839341 ]), array([ 56.07955585, -43.81897973]), array([ 55.13908328, -43.37027554]), array([ 56.15188959, -44.34962524]), array([ 57.72730677, -44.68772182]), array([ 58.42133791, -45.07752107]), array([ 59.71658261, -45.839827  ]), array([ 59.46898229, -47.56971492]), array([ 60.83706145, -47.96709332]), array([ 61.22324054, -48.38687655]), array([ 62.70393726, -50.1482835 ]), array([ 63.48501947, -49.9921203 ]), array([ 63.92384752, -50.70042839]), array([ 64.23289132, -51.01243416]), array([ 64.18647073, -51.2911153 ]), array([ 65.42106663, -53.09926965]), array([ 66.54450287, -54.02528561]), array([ 66.58851394, -53.84005   ]), array([ 67.0467409 , -56.89244961]), array([ 67.50596983, -58.11241094]), array([ 68.288656  , -58.24852412]), array([ 68.25142353, -58.17670347]), array([ 68.24496785, -60.45109352]), array([ 68.60455295, -61.48522588]), array([ 69.55894852, -62.33558931]), array([ 70.52460506, -64.32443492]), array([ 71.0780141 , -64.48582759]), array([ 71.46024966, -65.772991  ]), array([ 72.24892452, -67.09968952]), array([ 72.66349216, -69.25484404]), array([ 72.37229533, -70.72046597]), array([ 72.76727327, -72.54482529]), array([ 73.65796531, -72.94488846]), array([ 74.66501294, -74.84629084]), array([ 73.85648345, -76.79160423])]","[6, 99]"
5,"[array([ 34.86957419, -19.67499059]), array([ 34.85597429, -18.90396481]), array([ 36.62193997, -17.95298687]), array([ 36.85821846, -16.46046673]), array([ 38.82136504, -16.02650245]), array([ 39.89179592, -16.24771929]), array([ 41.79705388, -15.80360381]), array([ 42.22612627, -15.14478617]), array([ 43.6687685 , -14.54525671]), array([ 45.17074738, -13.78645199]), array([ 46.04842641, -14.74663359]), array([ 47.55773638, -14.09391256]), array([ 48.72472627, -13.70039494]), array([ 50.07845862, -12.59715025]), array([ 51.25329253, -11.16186944]), array([ 53.50927058, -11.72399565]), array([ 55.45586608, -10.004655  ]), array([ 56.18584376,  -9.43974424]), array([ 57.2990919 ,  -9.09231576]), array([ 59.54339902,  -9.08972038]), array([ 60.71001825,  -6.94592593]), array([ 62.13878566,  -7.68670335]), array([ 64.13807537,  -6.28828412]), array([ 65.32283695,  -4.73909743]), array([ 65.89145848,  -4.79512202]), array([ 68.46697114,  -3.87696058]), array([ 69.16328914,  -2.22857673]), array([ 70.31591622,  -2.46580006]), array([ 71.62529575,  -2.11376376]), array([ 73.27911147,  -1.47333923]), array([ 74.23234317,  -0.25599832]), array([ 75.03651773,   1.54704061]), array([ 76.42187471,   3.05210816]), array([ 76.74918182,   3.77021688]), array([ 78.84209125,   4.94450444]), array([ 79.92897255,   6.45970468]), array([ 80.72630048,   7.85289201]), array([ 82.4033875 ,   9.93896061]), array([ 83.23826006,  11.36460198]), array([ 84.88250951,  11.2811427 ]), array([ 86.60310514,  13.39309495]), array([ 86.58701363,  15.39843883]), array([ 89.06151644,  16.19525159]), array([ 89.93948751,  16.98612979]), array([ 91.31057982,  18.76957523]), array([ 92.73106507,  19.870276  ]), array([ 93.54396901,  20.6246757 ]), array([ 94.44080592,  22.69210727]), array([ 94.31426348,  22.86166032]), array([ 96.83137239,  25.48469358]), array([ 97.57966359,  26.45100399]), array([ 98.04207126,  27.31640252]), array([ 99.50626178,  28.35276718]), array([ 100.55867569,   31.06665385]), array([ 103.1937895 ,   31.38659545]), array([ 103.70954319,   33.85256457]), array([ 104.7444947,   34.0780357]), array([ 106.33644206,   34.92753313]), array([ 107.6315424 ,   37.04283062]), array([ 109.19972962,   39.5175857 ]), array([ 110.53903333,   41.13687008]), array([ 111.39700861,   42.60138597]), array([ 112.98640273,   44.02076592]), array([ 113.96893249,   46.08561602]), array([ 115.58237258,   47.29202251]), array([ 117.20417284,   48.80821801]), array([ 117.65834044,   50.50086378]), array([ 119.59440727,   52.57000239]), array([ 120.94297407,   54.4989771 ]), array([ 121.44591276,   55.48585032]), array([ 124.05026751,   57.67096755]), array([ 125.59937291,   59.99349937]), array([ 126.42778295,   60.86293835]), array([ 127.1673865 ,   61.79932497]), array([ 128.41583393,   64.19737427]), array([ 129.4859254 ,   65.61074609]), array([ 130.5924087 ,   67.30182561]), array([ 132.04177532,   69.574293  ]), array([ 132.81157915,   71.79890487]), array([ 133.40457042,   72.53166672]), array([ 134.65729743,   74.52377209]), array([ 135.51391107,   77.03989618]), array([ 137.07408138,   77.7632443 ]), array([ 138.60363209,   78.70867533]), array([ 139.40318048,   81.93128018]), array([ 140.55947009,   83.16665568]), array([ 141.40995078,   85.21281389]), array([ 143.33829095,   86.76491244]), array([ 144.16265627,   88.45032685]), array([ 146.05677501,   89.29943396]), array([ 146.77477581,   91.23402443])]","[9, 99]"
