,0,1
0,"[array([ 29.08419856,  26.44941053]), array([ 28.00431956,  27.78886359]), array([ 26.35160988,  29.5094641 ]), array([ 24.47499236,  30.47196398]), array([ 23.28989598,  32.69199012]), array([ 21.79996925,  33.8115575 ]), array([ 19.56660366,  36.4112508 ]), array([ 17.0610416,  38.462741 ]), array([ 16.61745229,  39.30374332]), array([ 13.64224315,  41.02377263]), array([ 12.09597768,  42.89251509]), array([  8.73031558,  44.93295434]), array([  7.45297876,  46.96142016]), array([  5.37466233,  48.33395021])]","[0, 14]"
1,"[array([ -3.08674131,  39.90911706]), array([ -3.18259515,  41.68321512]), array([ -2.53795472,  41.95118802]), array([ -2.07495128,  41.68883966]), array([ -1.67747941,  43.31341802]), array([ -2.27082162,  44.44170982]), array([ -1.58627781,  44.03446882]), array([ -1.53181664,  45.41398834]), array([ -0.39426551,  47.02569028]), array([ -0.5002424 ,  48.63989463]), array([  0.1002581 ,  49.08235388]), array([  0.05742314,  49.27558365]), array([  0.84864972,  50.82906025]), array([ -2.69509396e-03,   5.08285980e+01])]","[0, 14]"
2,"[array([ 25.44481768,  -5.09909512]), array([ 25.99417485,  -6.41528215]), array([ 24.71813368,  -7.94713088]), array([ 24.43698053,  -7.77994507]), array([ 23.98723992,  -9.92438865]), array([ 23.56323761, -11.29659119]), array([ 23.74271684, -11.79453263]), array([ 22.89819747, -13.80588229]), array([ 22.25879388, -14.80875542]), array([ 22.1434188 , -15.86228951]), array([ 21.78252428, -16.48311356]), array([ 20.15593145, -18.31985926]), array([ 18.79634176, -19.53828518]), array([ 19.30083748, -21.23559076]), array([ 19.10358917, -21.80349342]), array([ 18.52827407, -23.04473415]), array([ 16.97792856, -24.0401724 ]), array([ 16.92153928, -23.91493845]), array([ 15.82484141, -25.24823571]), array([ 14.86032205, -26.21234125]), array([ 13.79314223, -26.53625932]), array([ 13.36344288, -28.66483269]), array([ 12.67729807, -28.77485661]), array([ 11.68107328, -30.05500327]), array([ 10.19851838, -30.29161189]), array([ 10.05635497, -31.64655566]), array([ 10.31343939, -32.89984625]), array([  7.92767409, -32.57564477]), array([  8.65146932, -34.88554316]), array([  8.58177102, -33.9860958 ]), array([  7.25431437, -36.13355349]), array([  6.35139783, -36.2176741 ]), array([  6.48994187, -36.63131707]), array([  4.14684934, -36.51750779]), array([  4.12445155, -38.15349844]), array([  2.98210661, -39.5380196 ]), array([  2.95732413, -40.34405581]), array([  1.02316733, -40.55743789]), array([  0.61390441, -42.33432188]), array([ -0.0518391 , -42.10820232]), array([ -1.54128389, -43.09908923]), array([ -1.28446134, -43.4837973 ]), array([ -2.79809222, -45.8803841 ]), array([ -3.52046308, -45.61087226]), array([ -3.900042  , -47.26097386]), array([ -5.27550454, -46.67702992]), array([ -5.97355749, -47.90519627]), array([ -6.20489122, -49.00217945]), array([ -7.05302902, -49.9539643 ]), array([ -7.40565142, -51.31063301]), array([ -8.44312461, -52.33636444]), array([ -7.95978222, -53.04181673]), array([ -9.57094963, -54.15158305]), array([ -8.95662591, -55.50358452]), array([ -8.79852854, -56.02329219]), array([-10.63446399, -56.94364151]), array([-10.53767821, -56.96830937]), array([-10.2416951 , -58.22653415]), array([-12.36534876, -57.79832298]), array([-12.63454863, -58.90638087]), array([-13.04338345, -58.92608028]), array([-13.70977805, -60.01227021]), array([-14.52179008, -59.37033062]), array([-14.32058631, -60.51038849]), array([-16.29391184, -61.48044424]), array([-17.19651545, -60.24040618]), array([-18.4272841 , -60.44857627]), array([-18.21836346, -61.09382495]), array([-19.95468557, -61.2475549 ]), array([-19.88470446, -61.79399657]), array([-21.26867673, -62.06956441]), array([-21.37369141, -62.95575938]), array([-23.8667735 , -63.37690699]), array([-24.45044709, -64.16955678]), array([-24.2686404 , -63.77000802]), array([-25.08053944, -63.89514129]), array([-26.12121244, -64.10220627]), array([-27.54516305, -64.15426825]), array([-28.50901308, -64.9264529 ]), array([-29.0130635 , -65.96011928]), array([-29.69941566, -66.68903399]), array([-31.42887009, -66.13053306]), array([-31.03678525, -67.29513584]), array([-32.4185676 , -66.47118321]), array([-32.43617104, -67.41602908]), array([-35.19607831, -67.97379622]), array([-36.61119935, -67.25761165]), array([-37.2197399 , -66.67490376]), array([-37.64125779, -67.02248671]), array([-38.24149089, -67.59001347]), array([-38.75963367, -67.71788766]), array([-40.2174149 , -67.56832049]), array([-41.56564971, -67.60199778]), array([-42.1909269 , -66.58393237]), array([-43.96909153, -67.06858327]), array([-44.85682059, -66.78624187]), array([-45.72983607, -66.95560505]), array([-46.77064721, -67.94402418]), array([-47.56458012, -66.48090607]), array([-48.84873184, -66.42398623])]","[0, 99]"
3,"[array([  1.10473464,  54.50948987]), array([  1.0413379 ,  55.61759688]), array([  1.16255459,  56.27171146]), array([  0.47153531,  57.43352898]), array([  1.297909  ,  59.05650895]), array([  1.67809779,  58.65453092]), array([  1.74048026,  60.27760867]), array([  2.07793999,  60.89723757]), array([  1.29201223,  63.11351063]), array([  1.35034755,  64.60915684]), array([  1.61461715,  65.47519365]), array([  2.79744433,  66.64236918]), array([  2.69506709,  68.4835298 ]), array([  2.23754346,  67.94683684]), array([  2.34605816,  70.17460003]), array([  3.65786375,  71.58563904]), array([  2.01703822,  72.87843022]), array([  2.74268465,  74.68072341]), array([  2.49843198,  74.64933625]), array([  2.99342785,  76.9081787 ]), array([  2.83169649,  78.79630136]), array([  2.41568633,  80.60826167]), array([  2.07690256,  81.47021129]), array([  3.20662234,  84.12056603]), array([  3.51544703,  86.604791  ]), array([  4.13489857,  86.70673037]), array([  5.81763048,  90.01472825]), array([  4.49264298,  91.06515164]), array([  5.28768495,  92.827027  ]), array([  6.0090049 ,  94.59648713]), array([  6.71205091,  97.2636718 ]), array([  7.10847653,  97.93960114]), array([   7.33925029,  101.58011467]), array([   8.0290578 ,  102.26502819]), array([   9.46629985,  104.99136841]), array([  10.56398562,  107.29210463]), array([   9.67443103,  108.14092978]), array([  11.52545162,  110.52278629]), array([  13.09650153,  112.32660991]), array([  12.98954417,  114.93062064]), array([  13.47055264,  116.21327764]), array([  14.86341775,  117.90668927]), array([  14.56619896,  119.92086784]), array([  14.76263984,  121.60222033]), array([  15.53411828,  124.30186705]), array([  16.28368542,  125.61768278]), array([  17.2994322 ,  127.57349245]), array([  17.56791448,  130.32865966]), array([  17.93994607,  132.01784978]), array([  18.9207769 ,  133.47036227]), array([  20.03033571,  135.47962705]), array([  20.70428687,  137.45673322]), array([  20.50290627,  140.7441967 ]), array([  21.40927825,  141.10971456]), array([  22.15865013,  143.99563685]), array([  22.91197981,  144.54842454]), array([  23.6450791 ,  147.14497993]), array([  23.86651128,  147.46064084]), array([  25.13889693,  148.37377866]), array([  25.54729679,  150.81117119]), array([  27.28518203,  151.48942008]), array([  26.79894948,  153.81309056]), array([  26.90096308,  154.62573156]), array([  29.07044235,  156.37082422]), array([  28.04059981,  158.26098215]), array([  29.67338986,  158.65005709]), array([  29.47998786,  159.56781675]), array([  30.21968984,  160.29061559]), array([  31.13755972,  162.65685444]), array([  30.79915547,  162.60465491]), array([  32.29130204,  164.17690966]), array([  32.57220593,  165.60474915]), array([  32.50103486,  166.68248079]), array([  33.06088351,  168.38910255]), array([  33.59778206,  169.69811638]), array([  33.14716665,  171.2439569 ]), array([  33.8323595 ,  172.78406745]), array([  34.18981942,  174.701712  ]), array([  34.47946213,  175.75954551]), array([  35.99639398,  177.41093758]), array([  35.52673309,  178.35841559]), array([  37.73231657,  179.59117105]), array([  36.86941769,  180.80070837]), array([  38.67886677,  182.09053676])]","[16, 99]"
4,"[array([ -7.97685195,  61.56911063]), array([-10.18861015,  62.06430645]), array([-12.16223976,  63.77275447]), array([-12.9842095 ,  64.93148067]), array([-16.17717292,  67.09700938]), array([-16.97799145,  68.35180713]), array([-18.83933748,  71.15444425]), array([-19.35534484,  71.47522207]), array([-21.95272656,  73.71039454]), array([-23.84510106,  73.26461244]), array([-25.49787507,  75.21298817]), array([-25.7329034 ,  76.08576383]), array([-27.37221677,  76.71714077]), array([-29.82102953,  78.10765815]), array([-31.7166089 ,  78.51413694]), array([-31.13271711,  78.87706968]), array([-34.52359414,  80.99869242]), array([-36.6369385 ,  80.63792612]), array([-38.29677547,  81.63058884]), array([-39.46685752,  82.7029461 ]), array([-41.57756477,  82.6793236 ]), array([-43.47332496,  82.83139997]), array([-44.13117529,  84.35432858]), array([-46.97464002,  82.87270187]), array([-48.42979827,  85.0950538 ]), array([-50.70870211,  85.530315  ]), array([-51.08372322,  86.44152353]), array([-52.69725917,  87.16516928]), array([-54.75694075,  86.77590122]), array([-55.27596418,  87.16256161]), array([-56.49221981,  88.6474226 ]), array([-57.2735966 ,  88.60382226]), array([-59.91793988,  88.39441587]), array([-59.71063362,  88.8293877 ]), array([-61.91233702,  91.09902145]), array([-63.68599855,  90.13149538]), array([-64.44358284,  91.03462797]), array([-66.28407624,  90.99430787]), array([-68.82871287,  91.42541152]), array([-69.09938186,  92.12612366]), array([-72.06413437,  92.13714172]), array([-72.61322384,  94.05244877]), array([-73.68553896,  93.1837046 ]), array([-74.53938234,  94.87525489]), array([-75.96014082,  95.94297891]), array([-77.07821267,  96.67978485]), array([-80.54538405,  97.50450622]), array([-80.90384865,  97.53701115]), array([-81.68308519,  99.60926186]), array([-83.47660751,  99.80814295]), array([ -84.64646228,  100.95389639]), array([ -85.66495567,  100.66679486]), array([ -86.48939051,  101.47363549]), array([ -87.92311833,  102.24286178]), array([ -89.2436011 ,  102.54657312]), array([ -89.51147432,  103.56028825]), array([ -90.96356294,  104.88884746]), array([ -92.13487961,  105.66557724]), array([ -93.45531634,  105.99013104]), array([ -93.4690811 ,  107.44668067]), array([ -95.14296214,  107.72561398]), array([ -95.94886945,  107.07649115]), array([ -96.76106913,  108.99297005]), array([ -97.59142183,  109.36738227]), array([ -98.47845676,  109.31861924]), array([ -99.24490108,  110.8361713 ]), array([-100.30446771,  111.08563839]), array([-100.85450512,  111.74901139]), array([-102.01681725,  112.47380329]), array([-101.49006558,  114.74984881]), array([-102.98354944,  112.84546709]), array([-104.76598423,  114.74497408]), array([-105.62268938,  116.4022703 ]), array([-106.90135015,  117.03871449]), array([-108.51884594,  117.91123381]), array([-108.73801545,  118.72527078]), array([-110.33038007,  120.09284111]), array([-111.22537973,  121.40920755]), array([-112.51502783,  122.56739709]), array([-112.56543241,  124.05346075])]","[20, 99]"
