,0,1
0,"[array([-20.73559575,  32.88587013]), array([-19.25991147,  33.96648968]), array([-17.73962582,  35.26851619]), array([-16.28960997,  36.37791776]), array([-14.77935187,  37.51080517]), array([-13.32819996,  38.64271351]), array([-11.85353461,  39.95777121]), array([-10.37797603,  41.05586614]), array([ -8.88126414,  42.09025165]), array([ -7.45059738,  43.40131377]), array([ -6.0453037 ,  44.52018202])]","[0, 11]"
1,"[array([  9.86677492, -45.68683231]), array([  8.94166382, -47.41428839]), array([  7.85455873, -49.09761383]), array([  6.87020817, -50.75864158]), array([  5.79251873, -52.44436847]), array([  4.71279482, -54.07536413]), array([  3.63439354, -55.87967742]), array([  2.46527373, -57.62045794]), array([  1.54826482, -59.19993132]), array([  0.46883805, -60.80818355]), array([ -0.63087351, -62.75220296]), array([ -1.68266187, -64.33401649]), array([ -2.66216267, -66.08784613]), array([ -3.74989145, -67.66746721]), array([ -4.83333446, -69.30781892]), array([ -5.87150043, -71.05664677]), array([ -6.91886277, -72.73523502]), array([ -7.84025157, -74.50461532]), array([ -9.16555942, -76.2177838 ]), array([-10.03018852, -77.84417429]), array([-11.13177132, -79.61497156]), array([-12.18844837, -81.30144476]), array([-13.3653681 , -83.06865729]), array([-14.31537746, -84.79509894]), array([-15.4201259, -86.4350541]), array([-16.42639608, -88.31216254]), array([-17.52893106, -90.1358989 ]), array([-18.5492193 , -91.73548327]), array([-19.58567389, -93.54319046]), array([-20.69420639, -95.31404205]), array([-21.86037918, -96.97978772]), array([-22.85259234, -98.75656024]), array([ -23.91539872, -100.44825664]), array([ -25.02921555, -102.23782557]), array([ -26.10794213, -103.92612331]), array([ -27.13393098, -105.73935739]), array([ -28.20039094, -107.54907534]), array([ -29.29649144, -109.40478581]), array([ -30.31943986, -110.98121327]), array([ -31.50039839, -112.79998297]), array([ -32.53324644, -114.56240493]), array([ -33.55638034, -116.32295735]), array([ -34.57165554, -118.09592263]), array([ -35.6657922 , -119.82468446]), array([ -36.79799624, -121.60023126]), array([ -37.79492127, -123.28699881]), array([ -38.86663202, -125.05203725]), array([ -39.99144499, -126.86834785]), array([ -41.11765372, -128.49943433]), array([ -42.1596078 , -130.27654014]), array([ -43.35771658, -132.12249252]), array([ -44.38347801, -133.74513645]), array([ -45.37275631, -135.49748183]), array([ -46.57118318, -137.2272926 ]), array([ -47.67373457, -138.96938134]), array([ -48.74557983, -140.78132005]), array([ -49.90666074, -142.53923349]), array([ -50.97425231, -144.26903695]), array([ -52.00610526, -145.91642373]), array([ -53.13434763, -147.68768625]), array([ -54.22344727, -149.427818  ]), array([ -55.28538915, -151.14341523]), array([ -56.34225133, -152.90165369]), array([ -57.53184854, -154.78581811]), array([ -58.53089855, -156.49350601]), array([ -59.6197043 , -158.17288689]), array([ -60.64257022, -159.92632428]), array([ -61.79486849, -161.62771315]), array([ -62.82981504, -163.43867449]), array([ -63.79667211, -165.13292595]), array([ -64.94364806, -166.97715561]), array([ -66.14168656, -168.75794899]), array([ -67.15859054, -170.45981339]), array([ -68.26526813, -172.15830257]), array([ -69.42639814, -173.9962143 ]), array([ -70.50197635, -175.81466269]), array([ -71.56963201, -177.62720597]), array([ -72.65657923, -179.42384639]), array([ -73.73112879, -181.16194857]), array([ -74.79123212, -182.92998388]), array([ -75.88755837, -184.76001974]), array([ -76.97782144, -186.58918908]), array([ -78.12141821, -188.31305611]), array([ -79.24672393, -190.17407286]), array([ -80.27282331, -191.81725451]), array([ -81.40889593, -193.66527241]), array([ -82.42067949, -195.37136692]), array([ -83.60355319, -197.14271122]), array([ -84.67792145, -199.00003797]), array([ -85.67535066, -200.71854588]), array([ -86.7614977 , -202.43712762]), array([ -87.90805453, -204.29299149]), array([ -89.01863007, -206.08962173]), array([ -90.08883029, -207.7679531 ]), array([ -91.25839769, -209.54612871]), array([ -92.27369979, -211.40348074]), array([ -93.37148884, -213.19918151]), array([ -94.51079386, -214.9011248 ]), array([ -95.62672897, -216.66042683]), array([ -96.68172397, -218.40454311])]","[0, 99]"
2,"[array([ 12.36226003,  29.76918873]), array([ 10.81304445,  30.60295734]), array([  9.26887167,  31.50930309]), array([  7.84700806,  32.50556114]), array([  6.39445436,  33.55269657]), array([  5.04767241,  34.48356958]), array([  3.56913931,  35.2585563 ]), array([  2.13540164,  36.31127386]), array([  0.67215518,  37.33337679]), array([ -0.7667944 ,  38.29589587]), array([ -2.12375092,  39.26731124]), array([ -3.40323916,  40.21411343]), array([ -4.89094328,  41.24953886]), array([ -6.27084642,  42.13417898]), array([ -7.72438234,  43.12825194]), array([ -9.23720184,  44.22633947]), array([-10.594525  ,  45.25177912]), array([-11.95949246,  46.06326165]), array([-13.35859291,  47.04653148]), array([-14.78918857,  48.02991807]), array([-16.0174827 ,  49.02145753]), array([-17.49745049,  50.01386939]), array([-18.89628064,  51.13403752]), array([-20.27849544,  52.0836595 ]), array([-21.85161189,  53.01829581]), array([-23.17120828,  54.08821751]), array([-24.59950964,  55.04697119]), array([-25.95130507,  55.97646447]), array([-27.37766431,  57.00973703]), array([-28.63550288,  57.95361404]), array([-30.10946871,  59.04566426]), array([-31.46029801,  59.84464536]), array([-32.72532824,  60.89436614]), array([-34.21856799,  61.9135985 ]), array([-35.53390851,  62.9054552 ]), array([-36.91487628,  63.85410817]), array([-38.17346525,  64.85452706]), array([-39.41223087,  65.75914362]), array([-40.8925386 ,  66.81966827]), array([-42.23511486,  67.73372877]), array([-43.62690238,  68.7766212 ]), array([-44.95579716,  69.83508737]), array([-46.29053167,  70.70494624]), array([-47.74221586,  71.76198124]), array([-49.05113275,  72.74972201]), array([-50.38800988,  73.77080853]), array([-51.73710002,  74.81022754]), array([-53.04458092,  75.80887444]), array([-54.36314517,  76.79457001]), array([-55.70470986,  77.82412104]), array([-56.98756618,  78.7925692 ]), array([-58.40582204,  79.76488652]), array([-59.71491448,  80.83039424]), array([-61.08086303,  81.81177304]), array([-62.41416749,  82.91123758]), array([-63.74785714,  83.88369561]), array([-65.05532764,  84.81860764]), array([-66.42021119,  85.91922481]), array([-67.66497343,  86.96259199]), array([-69.16220461,  87.98655054]), array([-70.56203208,  88.9090113 ]), array([-71.78203143,  89.97217257]), array([-73.24539203,  90.81365439]), array([-74.64859598,  91.85951341]), array([-75.93881714,  92.8382451 ]), array([-77.3800424 ,  93.83353042]), array([-78.76910055,  94.80193613]), array([-80.08814997,  95.79104307]), array([-81.54683956,  96.80314507]), array([-82.82255873,  97.81966649]), array([-84.16521556,  98.73097685]), array([-85.50177222,  99.66305298]), array([ -86.84321047,  100.67849203]), array([ -88.19585395,  101.68611611]), array([ -89.61043769,  102.61366836]), array([ -90.9232048 ,  103.64583262]), array([ -92.23883362,  104.71375324]), array([ -93.6591663,  105.6420208]), array([ -94.9774655 ,  106.75322086]), array([ -96.33677792,  107.66672296]), array([ -97.684794  ,  108.60392513]), array([ -99.09004532,  109.57491386]), array([-100.49340671,  110.62461593]), array([-101.78558243,  111.51185257]), array([-103.09663111,  112.57769712]), array([-104.51090854,  113.51478181]), array([-105.82365302,  114.64570413]), array([-107.16305404,  115.57552954]), array([-108.58958824,  116.67215534]), array([-109.92725598,  117.72782146]), array([-111.20037279,  118.71233796]), array([-112.55823954,  119.61070321]), array([-113.81616454,  120.68691975]), array([-115.22670215,  121.74170915]), array([-116.64082943,  122.74533962]), array([-117.9595347 ,  123.84941287]), array([-119.36061467,  124.80081055]), array([-120.76444168,  125.90114099]), array([-122.24058416,  126.87409518]), array([-123.53846813,  127.96542331])]","[0, 99]"
3,"[array([ -1.58116551,  48.00196826]), array([ -0.19665016,  49.21368239]), array([  1.26625506,  50.30023451]), array([  2.64815273,  51.48858507]), array([  4.16653607,  52.51259226]), array([  5.60198001,  53.68480416]), array([  6.99518488,  54.85362759]), array([  8.49480329,  56.15001769]), array([ 10.02904232,  57.24149976]), array([ 11.41533643,  58.31902448]), array([ 12.94094789,  59.43214495]), array([ 14.4411089 ,  60.60502428]), array([ 15.88268263,  61.76740646]), array([ 17.48974711,  62.82558157]), array([ 18.81646872,  63.9482724 ]), array([ 20.267133  ,  64.91371515]), array([ 21.71955922,  66.11605581]), array([ 23.21370958,  67.26203666]), array([ 24.77526913,  68.43651303]), array([ 26.18846612,  69.56101736]), array([ 27.60259099,  70.644867  ]), array([ 28.98252826,  71.72920906]), array([ 30.41334319,  72.87775438]), array([ 31.88659347,  73.97017296]), array([ 33.41296899,  75.00592985]), array([ 34.73467042,  76.14202666]), array([ 36.22205793,  77.318744  ]), array([ 37.68616983,  78.35504583]), array([ 39.07766492,  79.44109353]), array([ 40.53093461,  80.48930841]), array([ 42.03896808,  81.72141235]), array([ 43.53593134,  82.68717014]), array([ 44.93199781,  83.86953104]), array([ 46.30897283,  84.94344085]), array([ 47.69081532,  85.99962953]), array([ 49.13732984,  87.1047358 ]), array([ 50.51959862,  88.18407867]), array([ 51.94674365,  89.29586994]), array([ 53.31655226,  90.38784421]), array([ 54.69453778,  91.5160556 ]), array([ 56.1194716 ,  92.66169558]), array([ 57.50235598,  93.74532029]), array([ 58.93192152,  94.90730076]), array([ 60.28200782,  96.03410193]), array([ 61.58956179,  97.15519638]), array([ 62.92933772,  98.23347788]), array([ 64.23411991,  99.37736528]), array([  65.60974672,  100.50940021]), array([  66.95404637,  101.53614344]), array([  68.37684639,  102.66955143]), array([  69.71234141,  103.70968201]), array([  71.02888529,  104.93357974]), array([  72.50544041,  105.92716941]), array([  73.76126965,  107.05982441]), array([  75.18847167,  108.08079345]), array([  76.56052854,  109.30097239]), array([  77.93346634,  110.29727849]), array([  79.16263501,  111.22288316]), array([  80.53999149,  112.48745346]), array([  81.9770913 ,  113.53230357]), array([  83.34827134,  114.48820683]), array([  84.68463211,  115.53680567]), array([  85.99817191,  116.53582496]), array([  87.38367564,  117.64150514]), array([  88.7203219 ,  118.77364763]), array([  90.08246628,  119.74223018]), array([  91.4019918 ,  120.76094163]), array([  92.92999413,  121.71562925]), array([  94.23420164,  122.84237767]), array([  95.66774979,  123.91453975]), array([  97.08321862,  124.9859308 ]), array([  98.27711564,  125.9729294 ]), array([  99.65171372,  126.98367029]), array([ 101.10971368,  127.9628994 ]), array([ 102.43132037,  129.18228053]), array([ 103.71432071,  130.12193616]), array([ 105.23335129,  131.11539153]), array([ 106.58186285,  132.23223369]), array([ 107.96148531,  133.16179965]), array([ 109.414136  ,  134.25902978]), array([ 110.75934468,  135.28758503]), array([ 112.05714112,  136.24574298]), array([ 113.44507796,  137.35064458]), array([ 114.80201477,  138.36167051]), array([ 116.21753607,  139.38538087]), array([ 117.47409165,  140.33851961]), array([ 118.91104517,  141.4619917 ])]","[13, 99]"
